week,rank,title,artist
2025-01-05,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-01-05,2,A Bar Song (Tipsy),Shaboozey
2025-01-05,3,Birds Of A Feather,Billie Eilish
2025-01-05,4,Lose Control,Teddy Swims
2025-01-05,5,APT.,ROSE & Bruno Mars
2025-01-05,6,That's So True,Gracie Abrams
2025-01-05,7,Luther,Kendrick Lamar & SZA
2025-01-05,8,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-01-05,9,Espresso,Sabrina Carpenter
2025-01-05,10,Taste,Sabrina Carpenter
2025-01-05,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-01-05,12,Beautiful Things,Benson Boone
2025-01-05,13,Love Somebody,Morgan Wallen
2025-01-05,14,Too Sweet,Hozier
2025-01-05,15,Timeless,The Weeknd & Playboi Carti
2025-01-05,16,Squabble Up,Kendrick Lamar
2025-01-05,17,"Good Luck, Babe!",Chappell Roan
2025-01-05,18,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-01-05,19,Stargazing,Myles Smith
2025-01-05,20,Not Like Us,Kendrick Lamar
2025-01-05,21,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-01-05,22,30 For 30,SZA With Kendrick Lamar
2025-01-05,23,High Road,Koe Wetzel & jessie murph
2025-01-05,24,Who,Jimin
2025-01-05,25,Messy,Lola Young
2025-01-05,26,Please Please Please,Sabrina Carpenter
2025-01-05,27,Smile,Morgan Wallen
2025-01-05,28,I Am Not Okay,Jelly Roll
2025-01-05,29,BMF,SZA
2025-01-05,30,Million Dollar Baby,Tommy Richman
2025-01-05,31,Wind Up Missin' You,Tucker Wetmore
2025-01-05,32,Bed Chem,Sabrina Carpenter
2025-01-05,33,Sailor Song,Gigi Perez
2025-01-05,34,Lies Lies Lies,Morgan Wallen
2025-01-05,35,Wildflower,Billie Eilish
2025-01-05,36,Pink Pony Club,Chappell Roan
2025-01-05,37,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-01-05,38,I Never Lie,Zach Top
2025-01-05,39,Liar,Jelly Roll
2025-01-05,40,I'm Gonna Love You,Cody Johnson & Carrie Underwood
2025-01-05,41,Scorsese Baby Daddy,SZA
2025-01-05,42,Tu Boda,Oscar Maydon & Fuerza Regida
2025-01-05,43,"I Love You, I'm Sorry",Gracie Abrams
2025-01-05,44,It's Ok I'm Ok,Tate McRae
2025-01-05,45,4x4xU,Lainey Wilson
2025-01-05,46,No One Noticed,The Marias
2025-01-05,47,Good News,Shaboozey
2025-01-05,48,Indigo,Sam Barber Featuring Avery Anna
2025-01-05,49,Defying Gravity,Cynthia Erivo Featuring Ariana Grande
2025-01-05,50,Loco,Neton Vega
2025-01-05,51,Drive,SZA
2025-01-05,52,Que Pasaria...,Rauw Alejandro & Bad Bunny
2025-01-05,53,Think I'm In Love With You,Chris Stapleton
2025-01-05,54,Guy For That,Post Malone Featuring Luke Combs
2025-01-05,55,Dancing In The Flames,The Weeknd
2025-01-05,56,Hey Now,Kendrick Lamar Featuring Dody6
2025-01-05,57,Help Me,Real Boston Richey
2025-01-05,58,Residuals,Chris Brown
2025-01-05,59,Am I Okay?,Megan Moroney
2025-01-05,60,Diamond Boy (DTM),SZA
2025-01-05,61,I Ain't Sayin',Jordan Davis
2025-01-05,62,What Do I Do,SZA
2025-01-05,63,Heart Of A Woman,Summer Walker
2025-01-05,64,Another Life,SZA
2025-01-05,65,Bad Dreams,Teddy Swims
2025-01-05,66,No Pole,Don Toliver
2025-01-05,67,Empty Out Your Pockets,Juice WRLD
2025-01-05,68,Dos Dias,Tito Double P & Peso Pluma
2025-01-05,69,Close To You,Gracie Abrams
2025-01-05,70,Popular,Ariana Grande
2025-01-05,71,Crybaby,SZA
2025-01-05,72,Wacced Out Murals,Kendrick Lamar
2025-01-05,73,Diet Pepsi,Addison Rae
2025-01-05,74,Apple,Charli xcx
2025-01-05,75,Boys Back Home,Dylan Marlowe & Dylan Scott
2025-01-05,76,25,Rod Wave
2025-01-05,77,Kitchen,SZA
2025-01-05,78,Peekaboo,Kendrick Lamar Featuring AzChike
2025-01-05,79,Burning Down,Alex Warren
2025-01-05,80,Disease,Lady Gaga
2025-01-05,81,Shake Dat Ass (Twerk Song),BossMan Dlow
2025-01-05,82,Gang Baby,NLE Choppa
2025-01-05,83,Khe?,Rauw Alejandro & Romeo Santos
2025-01-05,84,Brokey,Latto
2025-01-05,85,Rosones,Tito Double P
2025-01-05,86,Juno,Sabrina Carpenter
2025-01-05,87,Nadie,Tito Double P
2025-01-05,88,What Is This Feeling?,Ariana Grande & Cynthia Erivo
2025-01-05,89,El Club,Bad Bunny
2025-01-05,90,Dodger Blue,"Kendrick Lamar Featuring Wallie the Sensei, Siete7x & Roddy Ricch"
2025-01-05,91,Pitorro de Coco,Bad Bunny
2025-01-05,92,The Largest,BigXthaPlug
2025-01-05,93,Wondering Why,The Red Clay Strays
2025-01-05,94,Ends Of The Earth,Ty Myers
2025-01-05,95,Chill Baby,SZA
2025-01-05,96,Holy Smokes,Bailey Zimmerman
2025-01-05,97,High Road,Zach Bryan
2025-01-05,98,On One Tonight,Gunna
2025-01-05,99,St. Chroma,"Tyler, the Creator Featuring Daniel Caesar"
2025-01-05,100,Cowboy Songs,George Birge
2025-01-12,1,Die With A Smile,Lady Gaga & Bruno Mars
2025-01-12,2,A Bar Song (Tipsy),Shaboozey
2025-01-12,3,Birds Of A Feather,Billie Eilish
2025-01-12,4,Smile,Morgan Wallen
2025-01-12,5,APT.,ROSE & Bruno Mars
2025-01-12,6,Lose Control,Teddy Swims
2025-01-12,7,Luther,Kendrick Lamar & SZA
2025-01-12,8,That's So True,Gracie Abrams
2025-01-12,9,I Had Some Help,Post Malone Featuring Morgan Wallen
2025-01-12,10,Espresso,Sabrina Carpenter
2025-01-12,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay
2025-01-12,12,Taste,Sabrina Carpenter
2025-01-12,13,Love Somebody,Morgan Wallen
2025-01-12,14,Beautiful Things,Benson Boone
2025-01-12,15,Timeless,The Weeknd & Playboi Carti
2025-01-12,16,"Dum, Dumb, And Dumber","Lil Baby, Young Thug & Future"
2025-01-12,17,Too Sweet,Hozier
2025-01-12,18,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne"
2025-01-12,19,Squabble Up,Kendrick Lamar
2025-01-12,20,Stargazing,Myles Smith
2025-01-12,21,"Good Luck, Babe!",Chappell Roan
2025-01-12,22,30 For 30,SZA With Kendrick Lamar
2025-01-12,23,Not Like Us,Kendrick Lamar
2025-01-12,24,Messy,Lola Young
2025-01-12,25,High Road,Koe Wetzel & jessie murph
2025-01-12,26,Whatchu Kno About Me,Glorilla & Sexyy Red
2025-01-12,27,Nuevayol,Bad Bunny
2025-01-12,28,Baile Inolvidable,Bad Bunny
2025-01-12,29,Tweaker,GELO
2025-01-12,30,Sailor Song,Gigi Perez
2025-01-12,31,Wind Up Missin' You,Tucker Wetmore
2025-01-12,32,Please Please Please,Sabrina Carpenter
2025-01-12,33,I Am Not Okay,Jelly Roll
2025-01-12,34,BMF,SZA
2025-01-12,35,Bed Chem,Sabrina Carpenter
2025-01-12,36,Voy A Llevarte Pa PR,Bad Bunny
2025-01-12,37,El Club,Bad Bunny
2025-01-12,38,DTMF,Bad Bunny
2025-01-12,39,Who,Jimin
2025-01-12,40,Million Dollar Baby,Tommy Richman
2025-01-12,41,Wildflower,Billie Eilish
2025-01-12,42,Lies Lies Lies,Morgan Wallen
2025-01-12,43,Velda,"Bad Bunny, Omar Courtz & Dei V"
2025-01-12,44,By Myself,Lil Baby & Rylo Rodriguez Featuring Rod Wave
2025-01-12,45,Perfumito Nuevo,Bad Bunny & RaiNao
2025-01-12,46,Like Him,"Tyler, the Creator Featuring Lola Young"
2025-01-12,47,Pink Pony Club,Chappell Roan
2025-01-12,48,No One Noticed,The Marias
2025-01-12,49,Liar,Jelly Roll
2025-01-12,50,Outfit,Lil Baby & 21 Savage
2025-01-12,51,Stuff,Lil Baby Featuring Travis Scott
2025-01-12,52,Weltita,Bad Bunny & Chuwi
2025-01-12,53,Redbone,Lil Baby & Glorilla
2025-01-12,54,EOO,Bad Bunny
