track_id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,tempo_norm,loudness_norm,key_name
00THZGfbizNvMUkJsQs74K,https://open.spotify.com/track/00THZGfbizNvMUkJsQs74K,0.483,0.793,0.559,0.0,9.0,0.105,-4.192,1,0.0404,100.029,0.848,0.3183136363636363,0.9301333333333334,A
01QPvRIYC5QG9E3khE6P9M,https://open.spotify.com/track/01QPvRIYC5QG9E3khE6P9M,0.299,0.751,0.578,1.5e-06,1.0,0.197,-6.633,0,0.0648,149.867,0.67,0.54485,0.88945,C#
03IpZ9yqJlo3EIgDQUgBSF,https://open.spotify.com/track/03IpZ9yqJlo3EIgDQUgBSF,0.267,0.556,0.7239999999999999,0.0,0.0,0.217,-3.165,1,0.1189999999999999,101.097,0.681,0.3231681818181818,0.94725,C
046TaHr9EePc6M8NQX9vfw,https://open.spotify.com/track/046TaHr9EePc6M8NQX9vfw,0.00233,0.415,0.906,0.000384,2.0,0.531,-4.234,0,0.0413,160.046,0.219,0.5911181818181818,0.9294333333333332,D
04ndZkbKGthTgYSv3xS7en,https://open.spotify.com/track/04ndZkbKGthTgYSv3xS7en,0.521,0.913,0.584,5.36e-05,9.0,0.307,-5.263,1,0.223,119.873,0.627,0.4085136363636364,0.9122833333333332,A
08809bzGs69SfjOFdeyssu,https://open.spotify.com/track/08809bzGs69SfjOFdeyssu,0.0718,0.753,0.747,0.0,4.0,0.342,-3.735,0,0.298,179.993,0.934,0.6817863636363636,0.93775,E
0AY0Uq2ySvfY13ootFlgCm,https://open.spotify.com/track/0AY0Uq2ySvfY13ootFlgCm,0.126,0.715,0.796,0.0,11.0,0.352,-5.457,1,0.0544,97.971,0.718,0.3089590909090909,0.90905,B
0CYTGMBYkwUxrj1MWDLrC5,https://open.spotify.com/track/0CYTGMBYkwUxrj1MWDLrC5,0.114,0.743,0.831,6.43e-05,8.0,0.35,-4.042,0,0.0583999999999999,95.975,0.609,0.2998863636363636,0.9326333333333332,G#
0CgpCtEPvyDizcg2p47VrU,https://open.spotify.com/track/0CgpCtEPvyDizcg2p47VrU,0.236,0.625,0.804,8.22e-05,4.0,0.308,-5.652,0,0.0268,129.931,0.827,0.4542318181818182,0.9058,E
0Cs2ANiGsCOQLKnCrNJ6hA,https://open.spotify.com/track/0Cs2ANiGsCOQLKnCrNJ6hA,0.0184,0.753,0.836,0.0,5.0,0.11,-2.584,0,0.0568,139.949,0.891,0.4997681818181819,0.9569333333333332,F
0DWdj2oZMBFSzRsi2Cvfzf,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,0.619,0.587,0.647,0.0,4.0,0.106,-3.385,0,0.327,90.123,0.686,0.2732863636363636,0.9435833333333332,E
0EVxchTHYIgx618OrpcrdQ,https://open.spotify.com/track/0EVxchTHYIgx618OrpcrdQ,0.254,0.686,0.8709999999999999,0.000206,4.0,0.34,-2.217,0,0.0926,169.857,0.626,0.6357136363636363,0.96305,E
0EhmTBq33eARyOz3SIi4P2,https://open.spotify.com/track/0EhmTBq33eARyOz3SIi4P2,0.9290000000000002,0.459,0.162,0.0,0.0,0.137,-11.634,1,0.0425,184.784,0.483,0.7035636363636363,0.8061,C
0H9WU0OIXPpbOVgzzOanXb,https://open.spotify.com/track/0H9WU0OIXPpbOVgzzOanXb,0.609,0.777,0.559,0.0,7.0,0.21,-6.803,1,0.041,88.035,0.941,0.2637954545454545,0.8866166666666667,G
0LRgY9XAxrghqLDAaJ3o1v,https://open.spotify.com/track/0LRgY9XAxrghqLDAaJ3o1v,0.0246,0.549,0.651,0.76,11.0,0.219,-8.402,1,0.048,115.671,0.259,0.3894136363636364,0.8599666666666667,B
0Me3GyNuLOa1YTIxhJPyCn,https://open.spotify.com/track/0Me3GyNuLOa1YTIxhJPyCn,0.688,0.8230000000000001,0.8820000000000001,1.7e-06,3.0,0.107,-3.5130000000000003,0,0.0555999999999999,128.044,0.963,0.4456545454545455,0.94145,D#
0N5qTofETElfJvRvpF3Mk6,https://open.spotify.com/track/0N5qTofETElfJvRvpF3Mk6,0.166,0.593,0.791,0.0,11.0,0.0821,-4.012,0,0.0543,88.002,0.685,0.2636454545454545,0.9331333333333334,B
0PB0O24JqAuNdOAFVJljMS,https://open.spotify.com/track/0PB0O24JqAuNdOAFVJljMS,0.143,0.863,0.706,4.43e-05,3.0,0.0786,-5.555,0,0.103,140.017,0.686,0.5000772727272728,0.9074166666666666,D#
0PubldFzfVrW20iXBpLko9,https://open.spotify.com/track/0PubldFzfVrW20iXBpLko9,0.57,0.542,0.358,0.244,9.0,0.128,-11.498,1,0.04,77.909,0.135,0.2177681818181818,0.8083666666666667,A
0RD94y2DlYTzEePb4WuVbU,https://open.spotify.com/track/0RD94y2DlYTzEePb4WuVbU,0.323,0.83,0.586,0.00948,10.0,0.076,-5.943,0,0.127,96.996,0.713,0.3045272727272727,0.90095,A#
0RpL1pOALdN5E4Ci1tYG1y,https://open.spotify.com/track/0RpL1pOALdN5E4Ci1tYG1y,0.0323,0.754,0.876,3.57e-05,10.0,0.318,-3.878000000000001,0,0.039,98.022,0.719,0.3091909090909091,0.9353666666666668,A#
0SoBfYjQHvL6cuWHtPUYnq,https://open.spotify.com/track/0SoBfYjQHvL6cuWHtPUYnq,0.24,0.451,0.711,0.0,11.0,0.154,-4.612,1,0.0426,176.161,0.661,0.6643681818181818,0.9231333333333333,B
0Sr7ssScx54yxdM2ols7nW,https://open.spotify.com/track/0Sr7ssScx54yxdM2ols7nW,0.103,0.56,0.6809999999999999,0.0,6.0,0.106,-6.304,0,0.244,155.079,0.388,0.5685409090909092,0.8949333333333332,F#
0T25HZGE0WwyELWBlXQVbY,https://open.spotify.com/track/0T25HZGE0WwyELWBlXQVbY,0.137,0.68,0.581,0.0,11.0,0.266,-5.567,1,0.24,172.218,0.748,0.6464454545454545,0.9072166666666668,B
0T2pB7P1VdXPhLdQZ488uH,https://open.spotify.com/track/0T2pB7P1VdXPhLdQZ488uH,0.034,0.709,0.56,0.0,4.0,0.315,-4.867,0,0.171,170.082,0.541,0.6367363636363637,0.9188833333333334,E
0TUW9faHNaBmi89wsYGp9y,https://open.spotify.com/track/0TUW9faHNaBmi89wsYGp9y,0.582,0.696,0.678,2.22e-06,4.0,0.134,-5.893,0,0.0735,91.985,0.346,0.28175,0.9017833333333332,E
