date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,6,Pobre Corazón - En Vivo,"Ke Personajes, Onda Sabanera",1AX4aybSRyXHWrjg27wTFE,84,198930,0,7kNdveFXAKstJ8iNMrwq4Z,2023-03-02,"cumbia, cuarteto",cumbia
2023-05-18,9,Ya No Vuelvas (Versión Cuarteto),"Luck Ra, La K'onga, Ke Personajes",0u6JsFiEEXb6kaF0oqyeFi,84,204000,0,3X0T1blaMiY2aev0wrbK1G,2022-12-01,"cuarteto, cumbia, argentine trap",cuarteto
2023-05-18,11,ADIÓS,Maria Becerra,2bNCiY24Eh4saMcc23bvUN,80,160856,1,3iYC1GqtQVjnO63aYDs1nL,2022-12-08,argentine trap,argentine trap
2023-05-18,15,Perfecta (Versión 2023),"Miranda!, Maria Becerra, FMK",0vUqiSvbUICW3YtTA5ecSX,75,221053,0,5QL33hpDp6XBWdNsc0VGUO,2023-04-19,latin pop,latin pop
2023-05-18,20,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-18,21,Si No Te Tengo / Ángel / Aquello Que Pasó,Ke Personajes,1fKFxmSByZfjwVSbq0PHye,81,428438,0,0BmRinej1BC9Dk6AmpY6ND,2021-08-17,"cumbia, cuarteto",cumbia
2023-05-18,24,Feliz Cumpleaños Ferxxo,Feid,2CeKVsFFXG4QzA415QygGb,89,155960,0,7pijRxgRaBirPz6wDaJIp9,2022-09-14,"reggaeton, urbano latino",reggaeton
2023-05-18,29,Muñecas,"TINI, La Joaqui, Steve Aoki",4yPmTUkWmUfLPQLCccp0DR,77,156318,0,3HWlgRjxW0H7fWm1n2LBbE,2023-02-16,latin pop,latin pop
2023-05-18,30,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,81,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-18,41,Niña Bonita,"Feid, Sean Paul",4VPoFy002PwspvctfYP6zx,88,187653,0,16ScBmKm5WA3RwvTqiQlJd,2023-04-21,"reggaeton, urbano latino",reggaeton
2023-05-18,42,qué le pasa conmigo?,"Nicki Nicole, Rels B",0RD94y2DlYTzEePb4WuVbU,84,167251,0,0pWzIntouGCOZzQsSW6xYc,2023-04-19,argentine trap,argentine trap
2023-05-18,48,PLAYA DEL INGLÉS,"Quevedo, Myke Towers",3y33vvSSP8dNie0hDK4CvF,84,237525,0,7menGlTCTcVnCbUMKRgu3Z,2023-01-20,unknown,unknown
2023-05-21,13,Me Enteré,"Tiago PZK, TINI",5FWQLEX0lavdxiWGBNkBQ4,67,182075,0,6KBwgofbUBuXuFTuKmi9Js,2023-05-18,"argentine trap, urbano latino",argentine trap
2023-05-22,50,Otro Día Más,"Ke Personajes, La Contra",0ccUrj1mliFnR8R8VxCmKO,76,202342,0,4cNI3cWCuif3oiew8cI8ye,2021-06-10,"cumbia, cuarteto",cumbia
2023-06-02,48,Dos Días en la Vida - EADDA9223 (feat. Lali & Nicki Nicole),"Fito Paez, Lali, Nicki Nicole",4oDx5VoqSQJCduO5J5A8MB,53,248881,0,4VdWh8m5cYm3XI6dhayGIg,2023-05-30,"argentine rock, latin rock, rock en español, trova",argentine rock
