date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,2,C'est carrÃ© le S,Naps,2UHSXPY5jSCpp3nzWHtaQv,74,201533,0,1rs3ZOltQ78YblG2YMIvRI,2023-04-28,"french rap, pop urbaine, chicha",french rap
2023-05-18,22,Quoi de neuf bÃ©bÃ©,Jok'air,69Nu2qG69WCvju2bZvrxlu,61,202760,1,75WnRZkxa6fotcpJgIlxUC,2023-05-12,"french rap, french r&b",french rap
2023-05-18,27,DÃ©passÃ©,Nuit Incolore,3kkLa7nOjDH3bYTAt54oYh,74,172394,0,4bes8iyhIgbzo98sS5KVy3,2022-12-15,"french pop, chanson, variété française",french pop
2023-05-18,33,Urus,FavÃ©,7A2DyRIqqelhZ4caPJMaFI,71,147788,1,2Gf7U6e63AwtWjbG3wVV6P,2022-10-12,french rap,french rap
2023-05-18,34,TOUTE LA JOURNÃE (feat. Tiakola),Zola,2nD4X3sHH2kZ1gWraTpe7u,68,167933,1,6oi3iBbHDDAaAzMoG0UbgE,2023-03-17,"french rap, french r&b",french rap
2023-05-18,37,NO LÃCHE,Gazo & FavÃ© & Leto,6D1HiF2e3Z0F8FwQ5uLxwn,75,194201,1,6HGMONyziFfUCEpMdwbzZn,2023-03-15,"french rap, french r&b, pop urbaine, drill",french rap
2023-05-18,39,La vie qu'on mÃ¨ne,Ninho,0Jh6iWjna1wk5le0Ahn7No,74,193443,0,14p5CVdJCMRcgvICDAGS7k,2019-03-22,"french rap, pop urbaine",french rap
2023-05-18,44,Pas lÃ ,Djadja & Dinaz,1Uu4AYdteAo3c6Zp2Sefov,72,147000,1,1NTYNLaNEoAiZwT3mcNuP5,2023-03-03,"french rap, pop urbaine",french rap
2023-05-18,48,Î. Dieu ne ment jamais,Damso,6YWjskKykdPsBuiTBOg1VK,74,199346,1,7ovdjtmV0Bkm4Xb4pqtrZt,2017-04-28,"french rap, pop urbaine, french r&b",french rap
2023-05-25,47,Ãmotif (Booska 1H),PLK,1O2mX6MrjsJlkCGEF0TVWL,71,161737,1,6LDfsPJ7ACw7LkWzncyLx1,2019-02-01,"french rap, pop urbaine",french rap
2023-05-27,10,DerniÃ¨re ligne droite (feat. Laylow),SCH,25ph3mbSI8iOkaNGPtrUwk,57,193270,0,7IDykeUjRruv9YKVWt33KX,2023-05-24,"french rap, pop urbaine",french rap
2023-05-27,49,BESO,ROSALÃA & Rauw Alejandro,609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-28,26,DÃ©lire (feat. Tiakola),JoÃ© DwÃ¨t FilÃ© & Tiakola,5JzxQS6OW4GEruKqShvUo8,56,206720,1,459LQDfdX2DMzsymKkRRfP,2023-05-26,"kompa, zouk, french r&b, pop urbaine, kizomba, shatta",kompa
2023-06-02,19,Yafama - Nouvelle Ãcole,Yuz Boy,2rd3kchMtUoVCP7S7a0Lxa,56,214901,1,73HDVkRvYkm2ubCRYifWT4,2023-05-31,french rap,french rap
2023-06-02,39,Finale - Nouvelle Ãcole,Dau,46NCn1HZ054Wy0o6H86teM,54,180000,1,0di4KeDALleQK2iV3R2YyS,2023-05-31,french rap,french rap
2023-06-03,13,AMF - Nouvelle Ãcole,Coelho,0su56748WvAwZDecsY8ZNZ,60,179769,1,5vYdXyKqXVIRKUilj5Lr0h,2023-05-31,french rap,french rap
2023-06-04,39,Saiyan,Heuss L'enfoirÃ© & Gazo,2BvjmY4Mp5q1AHL0laetd6,55,189829,1,65Zsfpx3BX9uriUQ5Nvuq7,2023-06-02,"french rap, pop urbaine",french rap
2023-06-11,3,EntraÃ®nement,Jul,5JwqiWLLvi0HGABtvw57eX,59,251266,1,1WYGwCvsfFrr7kuQcfNnJr,2023-06-09,"french rap, pop urbaine",french rap
2023-06-11,13,ChagrinÃ©,Jul,0mVT4VH6fWPi2kyxTSRfvl,57,167186,1,1WYGwCvsfFrr7kuQcfNnJr,2023-06-09,"french rap, pop urbaine",french rap
2023-06-11,21,Range ton Ã©go,Jul,7r7lyWFwnnlxWOLNkzrCZk,56,180186,1,1WYGwCvsfFrr7kuQcfNnJr,2023-06-09,"french rap, pop urbaine",french rap
2023-06-11,23,MazÃ©,Jul,6KhgJkLrKKfx9Il92686Bx,56,180306,1,2MJwtheukAdfeZvK9AbKBZ,2023-06-09,opera,opera
2023-06-18,25,SignÃ©,Booba,62GMut5fknWG4DCFVI3Vzh,57,180968,1,5nAPqNlNOBzQjLv3JK5zxM,2023-06-15,"french rap, french r&b, pop urbaine",french rap
2023-06-25,28,MÃ©chant,Maes,1h8484CNhIZqhMsqD0ljkl,18,141247,1,0qnEbi793qwTHRjUIsNQxD,2023-03-10,"french rap, pop urbaine",french rap
2023-06-25,49,DerniÃ¨re fois,Nej,1D4uIvC3NJONLIeaadicne,55,198698,0,4krkLLyWeRYqr8JLIAx0KP,2023-06-23,"french r&b, moroccan pop",french r&b
2023-07-02,8,BranchÃ© sur snap,Ninho,0aXmmrsk2ZcnAlclHqkJCD,63,209320,1,6sY6EuHMdhyD4dgZsYcKad,2023-06-30,"french rap, pop urbaine",french rap
2023-07-02,15,Plus quâeux,Ninho,3XXoQ40P5yk3LczUTg0KDR,61,209253,1,6sY6EuHMdhyD4dgZsYcKad,2023-06-30,"french rap, pop urbaine",french rap
