track_id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,tempo_norm,loudness_norm,key_name
01fP5VcXu544TYCNSK60ha,https://open.spotify.com/track/01fP5VcXu544TYCNSK60ha,0.249,0.642,0.723,0.0,7.0,0.178,-6.521,0,0.162,125.987,0.606,0.4363045454545454,0.8913166666666666,G
01zsTmucc72th13AWj9HPf,https://open.spotify.com/track/01zsTmucc72th13AWj9HPf,0.142,0.934,0.807,1.99e-05,6.0,0.299,-4.286,1,0.173,127.967,0.878,0.4453045454545454,0.9285666666666668,F#
02i6ZKG8DIUavJE4yMaBsH,https://open.spotify.com/track/02i6ZKG8DIUavJE4yMaBsH,0.27,0.832,0.8,0.0,2.0,0.314,-4.955,1,0.354,142.04,0.657,0.5092727272727272,0.9174166666666668,D
03Nu6igh7gtptMbgJrcdrk,https://open.spotify.com/track/03Nu6igh7gtptMbgJrcdrk,0.817,0.589,0.13,0.0,1.0,0.103,-9.703,1,0.049,121.63,0.319,0.4165,0.8382833333333333,C#
03o8WSqd2K5rkGvn9IsLy2,https://open.spotify.com/track/03o8WSqd2K5rkGvn9IsLy2,0.00852,0.801,0.815,0.0203,11.0,0.313,-6.861,1,0.108,140.013,0.629,0.500059090909091,0.88565,B
03taSSoKs2Q6Y0oH5t78Kt,https://open.spotify.com/track/03taSSoKs2Q6Y0oH5t78Kt,0.164,0.872,0.496,0.0,5.0,0.161,-9.253,0,0.202,122.029,0.364,0.4183136363636363,0.8457833333333333,F
04WxWo7XeVyx22xEsrWRUb,https://open.spotify.com/track/04WxWo7XeVyx22xEsrWRUb,0.0229,0.624,0.65,1.21e-05,2.0,0.145,-5.819,1,0.0358,150.048,0.138,0.5456727272727273,0.9030166666666666,D
05tF2Drqpc0hbHyh071354,https://open.spotify.com/track/05tF2Drqpc0hbHyh071354,0.218,0.536,0.747,0.0,2.0,0.101,-5.553,0,0.0818,88.094,0.424,0.2640636363636363,0.90745,D
06qMRF18gwbOYYbnP2du6i,https://open.spotify.com/track/06qMRF18gwbOYYbnP2du6i,0.212,0.733,0.598,3.71e-06,2.0,0.156,-8.228,1,0.0278,107.732,0.935,0.3533272727272727,0.8628666666666667,D
076rt3TGExWFNtw4Rt0h9l,https://open.spotify.com/track/076rt3TGExWFNtw4Rt0h9l,0.304,0.489,0.485,0.0,7.0,0.217,-10.31,0,0.184,109.587,0.576,0.3617590909090909,0.8281666666666666,G
