date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,LA RUE,No Limit & Gazo & Damso,7EO5oDxrq2dvYDgBjFvFYY,72,225137,1,7IaBlF8e6NvoKSiE0SXRP1,2023-05-11,"french rap, pop urbaine",french rap
2023-05-18,2,C'est carré le S,"Naps, Gazo, Ninho",2UHSXPY5jSCpp3nzWHtaQv,74,201533,0,1rs3ZOltQ78YblG2YMIvRI,2023-04-28,"french rap, pop urbaine, chicha",french rap
2023-05-18,3,Freestyle LVL UP 1,Ninho,5WAqZjhyquaFf8zBZ1Stfd,76,114182,1,2g47iUsGXrIMZTGqMgGFyE,2023-05-02,"french rap, pop urbaine",french rap
2023-05-18,4,Bolide allemand,SDM,0EzNyXyU7gHzj2TN8qYThj,79,176746,1,69njUAy8iu7QDMUYRYTQc2,2022-12-02,"french rap, french r&b, pop urbaine",french rap
2023-05-18,5,Freestyle LVL UP 2,Ninho,7DOqkqVZuvPhKIAtVXjZo1,71,149064,1,69poeNuEJvR2UGMqWDV8wF,2023-05-11,"french rap, pop urbaine",french rap
2023-05-18,6,Demain,PLK,66TAAKeoOD0cFpVRug9IXZ,79,183013,1,50UFRkLAkzL731ZFWym4Vq,2023-04-13,"french rap, pop urbaine",french rap
2023-05-18,7,Meuda,Tiakola,4wNyrbY6B2Okii8VeKo2B2,78,152546,1,3YjNC4de1PEvhuyZjMyxJU,2022-05-27,"french rap, pop urbaine, french r&b",french rap
2023-05-18,8,Jolie (feat. Ninho),GAULOIS,16FTTvpIgihyei3EBNw1jd,76,159573,1,0xkRuvISedgQKc7BesPxwP,2023-01-13,"french rap, french r&b",french rap
2023-05-18,9,Flowers,Miley Cyrus,7DSAEUvxU8FajXtRloy8M0,91,200600,0,5DvJgsMLbaR1HmAI6VhfcQ,2023-03-10,unknown,unknown
2023-05-18,10,Capitaine,Djadja & Dinaz,4Kd21ylDbBQftU0rljK28X,77,155920,1,1NTYNLaNEoAiZwT3mcNuP5,2023-03-17,"french rap, pop urbaine",french rap
2023-05-18,11,Mr. Ocho,SDM,1xLCwgQcF6bKncTJmRGGws,76,226653,1,69njUAy8iu7QDMUYRYTQc2,2022-12-02,"french rap, french r&b, pop urbaine",french rap
2023-05-18,12,Laboratoire,Werenoi,7wOgZ1otoKYDvKyQKP1sNZ,75,162840,1,7kUEtGrWj083U6ppOmGAeQ,2023-03-10,french rap,french rap
2023-05-18,13,Rush,Ayra Starr,1xs8bOvm3IzEYmcLJVOc34,82,185093,0,16ppCNm1KGCgUS0g3iKqh8,2022-10-21,"afrobeats, afrobeat, afropop, afro r&b, afropiano, afro soul",afrobeats
2023-05-18,14,Solitaire,Werenoi,3kzXT2poHInDISrXOgT1PR,74,146440,1,6p4UuRtrBi7EzUVYJdMWDJ,2022-06-03,french rap,french rap
2023-05-18,15,La faille,Jul,4F1fVi7f1h1fN4FrwoyWMa,66,291280,1,1jBSMXrJSzDX6GQnmqj5qL,2023-05-12,"french rap, pop urbaine",french rap
2023-05-18,16,Decrescendo,Lomepal,4otT81iBBpaf36roGtzT4a,76,218586,0,6R8nBTTPwlP7iur0wV3oLq,2022-09-15,french rap,french rap
2023-05-18,17,Nocif,Hamza,4BZZTXcd5ROagKhynqj61X,75,229386,1,3lyj8hU0YKXZIuYK6e0O5Y,2023-02-17,"french rap, pop urbaine, french r&b",french rap
2023-05-18,18,Ciao,Werenoi,53QXvXzW03xA2Clkj1UlCy,74,216333,1,7kUEtGrWj083U6ppOmGAeQ,2023-03-10,french rap,french rap
2023-05-18,19,AMBER,Zola,5UPpgOKi0UQMMMSzWWgJJe,68,182493,1,5WWOIsDogPoINEX7nEu6BD,2023-03-17,"french rap, french r&b",french rap
2023-05-18,20,Nouvelles,PLK,7d391WfC0HtftRcetDFQUy,75,179653,1,50UFRkLAkzL731ZFWym4Vq,2023-04-13,"french rap, pop urbaine",french rap
2023-05-18,21,Tiki Taka,Vacra,6pIciAIov7TP5Zj4PTN9rc,66,174829,0,0fYC25oqs9YmPIa3V09feB,2023-02-23,"french rap, french r&b, pop urbaine",french rap
2023-05-18,22,Quoi de neuf bébé,"Jok'air, Damso",69Nu2qG69WCvju2bZvrxlu,61,202760,1,75WnRZkxa6fotcpJgIlxUC,2023-05-12,"french rap, french r&b",french rap
2023-05-18,23,Daylight,David Kushner,5OGZ2Mx4Cs6RCndDRycGBJ,96,212953,0,52O89bnT0vPNtrzF1AtWJ2,2023-04-14,unknown,unknown
2023-05-18,24,DIE,Gazo,3D29kjUyWxsT3jUUTtARVQ,76,240413,1,5rS3VIo8faf2gtaNvAIavb,2022-07-01,"french rap, french r&b, pop urbaine, drill",french rap
2023-05-18,25,La danse du roro,Naps,7GbIvUaiklUZtzuqRJcASy,70,212053,0,1rs3ZOltQ78YblG2YMIvRI,2023-04-28,"french rap, pop urbaine, chicha",french rap
2023-05-18,26,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,2dHHgzDwk4BJdRwy9uXhTO,96,221520,1,7txGsnDSqVMoRl6RQ9XyZP,2022-12-02,unknown,unknown
2023-05-18,27,Dépassé,Nuit Incolore,3kkLa7nOjDH3bYTAt54oYh,74,172394,0,4bes8iyhIgbzo98sS5KVy3,2022-12-15,"french pop, chanson, variété française",french pop
2023-05-18,28,Secret,Louane,7dISpxgINJOQSuXUTEfB9x,74,191173,0,34zzJhaEHMgBndvceUHjoL,2022-12-09,"french pop, chanson, variété française",french pop
2023-05-18,29,Tattoo,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,89,183374,0,0LRTS7FyYLppkDLOZT02Xp,2023-02-25,europop,europop
2023-05-18,30,FLEURS (feat. Tiakola),Gazo,0i9RysNKssk6syOrKDX3U2,74,210933,1,5rS3VIo8faf2gtaNvAIavb,2022-07-01,"french rap, french r&b, pop urbaine, drill",french rap
2023-05-18,31,La bandite,Jul,0goer5e8B6SJaTV2B51k6f,78,160893,1,2GLuHlc49dJKY8yzxUZb8p,2019-06-28,"french rap, pop urbaine",french rap
2023-05-18,32,COEUR DE ICE (feat. Damso),Zola,6IGg7qsBvA5xbrwz3MNHWK,75,192213,1,2aSV2elXWxwezH9o71QOzo,2023-03-17,"french rap, french r&b",french rap
2023-05-18,33,Urus,Favé,7A2DyRIqqelhZ4caPJMaFI,71,147788,1,2Gf7U6e63AwtWjbG3wVV6P,2022-10-12,french rap,french rap
