date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)","Finesse, Shiva, Sfera Ebbasta, Guè, Drillionaire",2hHC2jw8qiE4IAPDGjU4Fu,82,181611,0,0EtbYgB5v6HF3VgWVYOOOi,2023-02-24,italian trap,italian trap
2023-05-18,2,CENERE,Lazza,0mHC3BK9vFGoEU0EcGPWRZ,77,208323,0,7qMFX6YMY6dhl4OWzve4ty,2022-04-07,italian trap,italian trap
2023-05-18,3,IL MALE CHE MI FAI (feat. Marracash),Geolier,7Da5kjy5GByLHE5OPQ4tpg,81,167339,0,0aGXQkS5LTFhYswwXJ8vJ6,2023-04-07,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2023-05-18,4,Pelé,"Rhove, Madfingerz",2IqM0gOHG4LlL0MHuOjLOq,78,133858,1,3q0jSQN78hoqBtXB2JDaw5,2023-03-16,italian trap,italian trap
2023-05-18,5,Un Briciolo Di Allegria (con MINA),BLANCO,6ds6kgkB0qRSpSnxcBomCO,79,207615,0,44iFvVtFduw0s4bPAk5skP,2023-04-13,unknown,unknown
2023-05-18,6,COME VUOI,Geolier,5x9LonDyHxGUO2VzfHJHLE,79,172615,1,5FAlSQMZ4j8pPa4sp0ZB4K,2023-01-06,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2023-05-18,7,Mon Amour,Annalisa,4qx89c79cx9Q1DvClaLTOZ,78,203225,0,5B0GGMs6JfaydpyszSsoVJ,2023-03-31,italo dance,italo dance
2023-05-18,8,"MIRAGE (feat. Ozuna, GIMS & Sfera Ebbasta)",AriBeatz & Ozuna & Sfera Ebbasta,4e1U6KRJGed8gh3uRbAv3P,81,206054,1,5WbgkuQehIgUQn9s5gpbZH,2023-04-14,german hip hop,german hip hop
2023-05-18,9,TANGO,Tananai,74cyFjvgjyiFiQ3QxszFWq,73,209062,0,0FfVgNTW9aFaHOYAzerA7I,2022-11-24,unknown,unknown
2023-05-18,10,X CASO (feat. Sfera Ebbasta),Geolier,2E32Pv8w20r6ZH4oFecxOf,78,215421,1,5FAlSQMZ4j8pPa4sp0ZB4K,2023-01-06,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2023-05-18,11,Due Vite,Marco Mengoni,4eI0ncpnZuv4A3ssTJRSDY,71,225652,0,6tgLnr7amiuRBK9LjO0pWG,2022-12-25,italo dance,italo dance
2023-05-18,12,ORIGAMI ALL'ALBA - CLARA,Matteo Paolillo - Icaro & Lolloflow & CLARA,3X6QTmtaKukOu5lISJYi4g,79,153758,0,282p191UnQOp3i5NREMfYL,2023-02-24,"canzone napoletana, neomelodico",canzone napoletana
2023-05-18,13,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,2tTmW7RDtMQtBk7m2rYeSw,93,198937,0,4PNqWiJAfjj32hVvlchV5u,2022-07-06,"argentine trap, trap latino, urbano latino",argentine trap
2023-05-18,14,CHIAGNE (feat. Lazza & Takagi & Ketra),Geolier,4midGjEpVz0mYkIdQMFX3l,74,179863,0,5FAlSQMZ4j8pPa4sp0ZB4K,2023-01-06,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2023-05-18,15,Non lo Sai,Shiva,0D3QZNAMH2d5MFkVlebo6h,78,228454,0,202T8cUT1c3oQarCOJBy6m,2022-11-25,italian trap,italian trap
2023-05-18,16,Dimmi Che C'è (feat. Tedua),"thasup, Tedua",7jVQ6DP7Q6S2wKWqJmcTZL,70,182078,0,0aNU7OgnwicBxJrhvv4Bah,2022-09-30,italian trap,italian trap
2023-05-18,17,SUPEREROI,Mr.Rain,1nND6VDerwJxLaUwVVCp28,79,195000,0,54YVUZvEjuGMyVSyLwPPdn,2023-02-08,unknown,unknown
2023-05-18,18,Non litighiamo più,Rocco Hunt,7n3z4EHDbOb3Ib8dLFtwWG,75,180444,0,6mb62aOsgJ2yItwqViACbE,2023-03-31,"canzone napoletana, neomelodico",canzone napoletana
2023-05-18,19,Guasto D'Amore,Bresh & SHUNE,4CQNELF3U3gyNcI6sLr6yK,77,200080,0,1CUZTsdUtnhtirsffXGMX7,2023-01-27,italian trap,italian trap
2023-05-18,20,BOSS,Tony Effe,41ZKcEXI1OSUDpY2zzP45D,78,144930,1,3sMOvpUohugjixq44SynQG,2023-03-24,italian trap,italian trap
2023-05-18,21,Cookies N' Cream (feat. ANNA & Sfera Ebbasta),"Guè, ANNA, Sfera Ebbasta",1xUnvxp9DFrpwXnO0RHKUp,77,201845,1,5FnVg6RBrEFUIEpHRw8EB1,2023-01-13,italian trap,italian trap
2023-05-18,22,Un Altro Show (feat. Geolier),Shiva,0AbDjrdgKTXzGzvQ1drgQl,76,171702,0,202T8cUT1c3oQarCOJBy6m,2022-11-25,italian trap,italian trap
2023-05-18,23,Arai (feat. Capo Plaza),Medy,1la73rdzbQGNRFJyO9E71c,76,181668,1,5r2DMxv3IGCkVIhksqgkFy,2023-01-13,italian trap,italian trap
2023-05-18,24,Tattoo,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,89,183374,0,0LRTS7FyYLppkDLOZT02Xp,2023-02-25,europop,europop
2023-05-18,25,Fantasmi (feat. Geolier),Rose Villain,0uXDSAM6q44glALKnQQyqW,74,133266,0,6hGUJpYzwN9DPqVUC2onlU,2023-01-20,italian trap,italian trap
