date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,"Gelosa (feat. Shiva, Sfera Ebbasta, Guè)","Finesse, Shiva, Sfera Ebbasta, Guè, Drillionaire",2hHC2jw8qiE4IAPDGjU4Fu,82,181611,0,0EtbYgB5v6HF3VgWVYOOOi,2023-02-24,italian trap,italian trap
2023-05-18,4,Pelé,"Rhove, Madfingerz",2IqM0gOHG4LlL0MHuOjLOq,78,133858,1,3q0jSQN78hoqBtXB2JDaw5,2023-03-16,italian trap,italian trap
2023-05-18,16,Dimmi Che C'è (feat. Tedua),"thasup, Tedua",7jVQ6DP7Q6S2wKWqJmcTZL,70,182078,0,0aNU7OgnwicBxJrhvv4Bah,2022-09-30,italian trap,italian trap
2023-05-18,18,Non litighiamo più,Rocco Hunt,7n3z4EHDbOb3Ib8dLFtwWG,75,180444,0,6mb62aOsgJ2yItwqViACbE,2023-03-31,"canzone napoletana, neomelodico",canzone napoletana
2023-05-18,21,Cookies N' Cream (feat. ANNA & Sfera Ebbasta),"Guè, ANNA, Sfera Ebbasta",1xUnvxp9DFrpwXnO0RHKUp,77,201845,1,5FnVg6RBrEFUIEpHRw8EB1,2023-01-13,italian trap,italian trap
2023-05-18,41,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-21,30,PUTA (feat. Ghali & Guè),"Sixpm, Ghali, Guè",7wrsR2dXDmuMEZKktOOyqB,56,186990,1,32gyucPh2z6ReaGnUBzIub,2023-05-18,unknown,unknown
2023-05-28,15,Tony Montana (feat. Guè),"Baby Gang, Bobo, Guè",201JJbyPScX7NO7DnjhNnD,60,147253,1,7CIpLH395MhKKJ7WyUzm58,2023-05-26,italian trap,italian trap
2023-05-28,19,Capitán,"Rvfv, Sfera Ebbasta, Anitta",5uiE7541e17jGNUEUZ1wqC,64,224888,1,2fjqCh4U7HvXqpEXPhpOMv,2023-05-26,"flamenco urbano, flamenco",flamenco urbano
2023-06-04,10,Scala Di Milano (feat. Guè),"Tedua, Guè",10mc5WaaFg1TC4sJhBBLBL,65,175738,0,4ir7AIjfrMVHTxZhnfzhWl,2023-06-02,italian trap,italian trap
2023-06-04,12,Soffierà,Tedua,2O0y98O2o2hY9M3eBPvnsW,63,202500,0,4ir7AIjfrMVHTxZhnfzhWl,2023-06-02,italian trap,italian trap
