track_id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,tempo_norm,loudness_norm,key_name
00GDUNeJd97qjKp2yrx0OC,https://open.spotify.com/track/00GDUNeJd97qjKp2yrx0OC,0.0231,0.707,0.639,0.0,7.0,0.213,-3.071,1,0.0369,96.984,0.698,0.3044727272727272,0.9488166666666668,G
02tNuntKQsoou5T4O8meyh,https://open.spotify.com/track/02tNuntKQsoou5T4O8meyh,0.118,0.769,0.716,0.0065899999999999,5.0,0.158,-8.203,0,0.0429,123.031,0.66,0.4228681818181818,0.8632833333333333,F
02wk5BttM0QL38ERjLPQJB,https://open.spotify.com/track/02wk5BttM0QL38ERjLPQJB,0.653,0.752,0.65,0.00136,5.0,0.105,-6.683,0,0.12,134.993,0.532,0.477240909090909,0.8886166666666667,F
06qMRF18gwbOYYbnP2du6i,https://open.spotify.com/track/06qMRF18gwbOYYbnP2du6i,0.212,0.733,0.598,3.71e-06,2.0,0.156,-8.228,1,0.0278,107.732,0.935,0.3533272727272727,0.8628666666666667,D
075HUD50Nuea3rNaABIsNZ,https://open.spotify.com/track/075HUD50Nuea3rNaABIsNZ,0.353,0.636,0.625,0.0,8.0,0.1119999999999999,-4.383,1,0.0253,103.008,0.652,0.3318545454545454,0.92695,G#
096KHkONhQm4MQNH35mU22,https://open.spotify.com/track/096KHkONhQm4MQNH35mU22,0.0141,0.8040000000000002,0.536,6.91e-06,6.0,0.0376,-7.003,1,0.0427,130.017,0.978,0.4546227272727272,0.8832833333333333,F#
09keT5ocFhEd5W5HidiUNq,https://open.spotify.com/track/09keT5ocFhEd5W5HidiUNq,0.166,0.925,0.74,0.0,2.0,0.0521,-2.698,1,0.123,101.994,0.844,0.3272454545454545,0.9550333333333332,D
0GWNtMohuYUEHVZ40tcnHF,https://open.spotify.com/track/0GWNtMohuYUEHVZ40tcnHF,0.0663,0.566,0.85,0.0,6.0,0.319,-4.431,0,0.0599,117.048,0.722,0.3956727272727273,0.92615,F#
0Gl9pXfGTU8eAnEbcka6AV,https://open.spotify.com/track/0Gl9pXfGTU8eAnEbcka6AV,0.0255,0.708,0.847,1.87e-06,6.0,0.36,-5.969,0,0.0622999999999999,129.877,0.706,0.4539863636363637,0.9005166666666666,F#
0J0P8iSE6l3pYHbUdNFYdS,https://open.spotify.com/track/0J0P8iSE6l3pYHbUdNFYdS,0.643,0.628,0.533,0.0,0.0,0.0733,-7.235,1,0.0417,79.953,0.459,0.2270590909090909,0.8794166666666666,C
0JcI7OdALbpSFkyKoufRYs,https://open.spotify.com/track/0JcI7OdALbpSFkyKoufRYs,0.0038,0.598,0.878,0.0,10.0,0.0468,-3.144,1,0.0634,125.529,0.901,0.4342227272727272,0.9476,A#
0NUJhYxwcAAB4UQULseQyX,https://open.spotify.com/track/0NUJhYxwcAAB4UQULseQyX,0.246,0.666,0.763,0.0,11.0,0.0879,-5.959999999999999,1,0.0281,103.01,0.663,0.3318636363636363,0.9006666666666666,B
0V2passWyAXnON67kfAj7y,https://open.spotify.com/track/0V2passWyAXnON67kfAj7y,0.0404,0.6820000000000002,0.926,0.0,3.0,0.19,-2.515,0,0.0606999999999999,105.969,0.86,0.3453136363636363,0.9580833333333332,D#
