date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,アイドル,YOASOBI,7ovUcF5uHTBRzUpB6ZOmvt,89,213233,0,7yMkS4NCpG0FH6NoaH3F0a,2023-04-12,"j-pop, anime",j-pop
2023-05-18,2,美しい鰭,SPITZ,3RauRsiIxUOQTS8h9sVWcP,78,209777,0,5npmI7gA2KMh68DwRjNSj9,2023-04-10,"j-pop, j-rock, kayokyoku",j-pop
2023-05-18,3,怪獣の花唄 - replica -,Vaundy,26H7pT0IHTko0AA3A35S73,80,224806,0,4LWbfv8uvEF3oz7YBFxmzn,2020-05-27,"j-pop, japanese indie, j-rock, anime",j-pop
2023-05-18,5,ケセラセラ,Mrs. GREEN APPLE,0teqQ0PYqVDyyXJuPOyMhu,75,272965,0,3j7aiYai9ezbvxVCgrd2mb,2023-04-25,"j-pop, anime, j-rock",j-pop
2023-05-18,7,ダンスホール,Mrs. GREEN APPLE,4QIKSlDV5YIjr0kqT1Ad32,76,203149,0,78aZx49bna8qXzsWReeL3o,2022-05-23,"j-pop, anime, j-rock",j-pop
2023-05-18,8,絆ノ奇跡,"MAN WITH A MISSION, milet",2VBLFxCUyFp5BfmsZpxcis,80,223320,0,1xml9CR90tJdvTESDk4Q4s,2023-04-10,"anime, j-rock, j-pop",anime
2023-05-18,10,åã®ã¾ã¾,ç¾è¶³ & é»ãã³,unknown_track,76,177580,0,unknown_album,2023-02-19,unknown,unknown
2023-05-18,11,そんなbitterな話,Vaundy,4DmmljTCS4ViQRSLCiMnOt,76,276082,0,4LWbfv8uvEF3oz7YBFxmzn,2023-03-13,"j-pop, japanese indie, j-rock, anime",j-pop
2023-05-18,12,ビリミリオン,Yuuri,7M0dIdZWN1FDcveRdoOzbZ,74,228760,0,6ClMd4vNeZ6cmrRNmOqAoY,2023-03-29,j-pop,j-pop
2023-05-18,13,ベテルギウス,Yuuri,4JK1kDUdH9RTBQrrSO1QfR,75,230600,0,1YWoHzj5wHnG7m6gLlwBQd,2022-01-12,j-pop,j-pop
2023-05-18,17,フライデー・ナイト,natori,4W3rP2KZkKEykdWvlWLgyc,76,175367,0,2bazvx0V9FTIKmJ9biVQtc,2023-03-31,"j-pop, anime",j-pop
2023-05-18,20,祝福,YOASOBI,1VoTe7qVyqyMNLgZpQeugO,78,196235,0,68w73FF3dYC6C3RWdcV0Yl,2022-10-01,"j-pop, anime",j-pop
2023-05-18,22,なんでもないよ、,Macaroni Empitsu,5W7Y92LB4jWvu9NeEQ0GZl,73,219252,0,2pJn8hcJhOliBQipPHKsaz,2022-01-12,j-pop,j-pop
2023-05-18,23,第ゼロ感,10-FEET,3GGOKTfxgyluPvAFnB30zE,72,286000,0,7hUGSAApToftQu366lqPVf,2022-12-14,"melodic hardcore, j-rock, j-pop",melodic hardcore
2023-05-18,26,水平線,back number,3RvdkNMcSy71m0aT6UF9Uf,72,288013,0,4Owee1i5rIFJvQczZXSdiQ,2023-01-17,"j-pop, j-rock",j-pop
2023-05-18,27,点描の唄,"Mrs. GREEN APPLE, Sonoko Inoue",1sIIlVrnPhrvmTrHtzM7tV,74,307066,0,5enxwo7c4D5mhXp5f56OLy,2018-07-31,"j-pop, anime, j-rock",j-pop
2023-05-18,29,アイラブユー,back number,34ayWAUrQcrjlKZOJAzqke,73,235693,0,4Owee1i5rIFJvQczZXSdiQ,2023-01-17,"j-pop, j-rock",j-pop
2023-05-18,30,ドライフラワー,Yuuri,4kPlQKwtPrnqLgrmmKFSlA,73,286360,0,1YWoHzj5wHnG7m6gLlwBQd,2022-01-12,j-pop,j-pop
2023-05-18,31,名前は片想い,indigo la End,1qwE94iwDll2rydJWHTm3I,74,213793,0,1wB0GF3mOb21xgSTuHBZ80,2023-01-25,"japanese indie, j-rock, j-pop",japanese indie
2023-05-18,32,群青,YOASOBI,1zd35Y44Blc1CwwVbW3Qnk,76,248026,0,1xhO0GSoezdPJcSuNe1ySv,2021-01-06,"j-pop, anime",j-pop
2023-05-18,33,リンジュー・ラヴ,Macaroni Empitsu,0NUJhYxwcAAB4UQULseQyX,74,185945,0,0jH2GxrReBs2SqeVSaM5vU,2023-01-14,j-pop,j-pop
2023-05-18,35,新時代 - ウタ from ONE PIECE FILM RED,Ado,2l2yRJWgMiJkfPbRNiuC25,73,226813,0,7r72omJJLTajYYn9vImIcb,2022-08-09,"j-pop, anime, vocaloid, j-rock",j-pop
2023-05-18,36,愛とか恋とか,Novelbright,1VHL1PIkhDwWbFc65xHwOr,72,232453,0,12cXi1i1cgTVe27Rb122kZ,2022-05-16,"j-pop, j-rock",j-pop
2023-05-18,37,ai no hana,Aimyon,0hK5XC4KD4dLqB2OPO6k2C,73,240044,0,1DhGRLzRbKuEC02l4rwZTS,2023-04-05,j-pop,j-pop
2023-05-18,41,残響散歌,Aimer,7v8wKvNQQIxkugCFFjrkaO,79,184893,0,1gfSftIuafqkGu28ely5z6,2021-12-06,"anime, j-pop, j-rock",anime
2023-05-18,42,トウキョウ・シャンディ・ランデヴ,"MAISONdes, 花譜, ツミキ",2MmgGuQzr0kkiA04lMdPXW,74,184766,0,4PVGSr28Y12iTfD6QnzAkQ,2022-10-21,"j-pop, anime",j-pop
