date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,8,Abcdario,"Eden Muñoz, Junior H",0qCPD6ilr9nXkI4KVZgcns,77,220650,0,7BgImTrFzm2nQQW59IeFGD,2023-05-13,"banda, corrido, norteño, corridos bélicos, corridos tumbados",banda
2023-05-18,13,Frágil,"Yahritza Y Su Esencia, Grupo Frontera",4JdSXF2p71cr8uCY3UiJM0,89,160517,0,6iZUwDpa27jeAvKxs8UYI2,2023-04-07,"sad sierreño, música mexicana, banda, corridos tumbados, corrido",sad sierreño
2023-05-18,15,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,81,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-18,21,ROSA PASTEL,"Peso Pluma, Jasiel Nuñez",4yjeRuoVickg1G87LWeRes,86,204253,1,4jox3ip1I39DFC2B7R5qLH,2023-04-20,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",corrido
2023-05-18,25,Igualito a Mi Apá,"Fuerza Regida, Peso Pluma",17js0w8GTkTUFGFM6PYvBd,88,166821,1,7idxAlo8GuUKWV7RhOlptp,2022-12-30,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño",corrido
2023-05-18,26,Así Lo Quiso Dios,"Eslabon Armado, Luis R Conriquez",6X5WZbJzXtk6aO03HlxuZ9,82,205299,0,5aDEezKnOqyQo0qvTFhpkM,2023-04-28,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",corridos tumbados
2023-05-18,29,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-18,36,El Gavilán,"Luis R Conriquez, Tony Aguirre, Peso Pluma",4ygQ5wSuzzNRevVjup1qV2,87,175295,0,5yRjJl7zzslQpbCX76s6Vi,2022-10-21,"corrido, corridos bélicos, corridos tumbados, electro corridos, dembow belico, banda, sierreño, sad sierreño, música mexicana",corrido
2023-05-18,41,Qué Agonía,"Yuridia, Ángela Aguilar",4H6o1bxKRGzmsE0vzo968m,80,152923,0,4l8OrF24fhXsCFF6wvP5fE,2022-10-20,latin pop,latin pop
2023-05-18,44,Di Que Sí,"Grupo Marca Registrada, Grupo Frontera",3J6d00TsKXTJV9zSJwEOd9,57,190553,0,5I5DtMQDh1PnflVUtTLMN7,2023-05-12,"corrido, corridos bélicos, corridos tumbados, electro corridos, norteño, música mexicana, banda, sad sierreño, dembow belico, sierreño",corrido
2023-05-18,49,La Jumpa,"Arcángel, Bad Bunny",2mnXxnrX5vCGolNkaFvVeM,87,255693,1,2AvuFDqTlnxvYhyVaLU6NY,2022-12-01,"reggaeton, trap latino, urbano latino",reggaeton
2023-05-20,50,Qué Onda Perdida,"Grupo Firme, Gerardo Coronel",6IV5Y1eWaQZ1jV5apkUMS4,84,239637,0,7b01UUiyCasivZJP3Suj4C,2023-03-30,"banda, corrido, norteño, sierreño, grupera, ranchera, música mexicana",banda
2023-06-04,42,Más Te Va a Doler,Kenia Os,5zKXodTRdBV2Mv12UmM3Tc,64,194230,0,7GXA6EaThSEbjVVdaBvuZg,2023-06-02,reggaeton mexa,reggaeton mexa
2023-06-10,31,DEMBOW BÉLICO,"Tito Double P, Joel De La P, Luis R Conriquez",0FkD2FHEZrZIofVkY6XPFK,68,126522,1,0tBIOtAGyBryVpVVU4umOL,2023-06-03,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, música mexicana",corrido
2023-06-16,49,Feliz Cumpleaños Ferxxo,Feid,2CeKVsFFXG4QzA415QygGb,90,155960,0,7pijRxgRaBirPz6wDaJIp9,2022-09-14,"reggaeton, urbano latino",reggaeton
2023-06-19,48,CCC,"Michelle Maciel, Eden Muñoz",7uuqrSuCjWxPTCVyOeGMyt,81,126081,0,0BdTCfBqngPThmKfdWaXll,2023-05-04,"electro corridos, corrido, corridos tumbados, corridos bélicos, banda, dembow belico",electro corridos
2023-06-25,46,GAVILÁN II,"Peso Pluma, Tito Double P",775hCSePn3GW4h9nZ636kq,70,225480,1,4jox3ip1I39DFC2B7R5qLH,2023-06-22,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",corrido
2023-07-05,48,Copa Vacía,"Shakira, Manuel Turizo",2iVgM5C7m1G4CJGbms301G,82,173547,0,4qtiO9UGqajxnKC0z0Mxn7,2023-06-29,latin pop,latin pop
