date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,Like Crazy,Jimin,3Ua0m0YmEjrMi9XErKcNiR,93,212241,0,4xc3Lc9yASZgEJGH7acWMB,2023-03-24,k-pop,k-pop
2023-05-18,2,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,51vRumtqbkNW9wrKfESwfu,87,182148,0,4Oz7K9DRwwGMN49i4NbVDT,2023-05-01,k-pop,k-pop
2023-05-18,3,Spicy,aespa,3gtlthEgyulDfT8dWdKsnv,81,197040,0,55N0UTP5992idhnEYOKYd9,2023-05-08,k-pop,k-pop
2023-05-18,4,I AM,IVE,70t7Q6AYG6ZgTYmJWcnkUM,89,183853,0,38VzP4yWfHdHafITKKRHEB,2023-04-10,k-pop,k-pop
2023-05-18,5,Queencard,(G)I-DLE,3xtPQCHJQ3o70PeVAaZSG2,71,161240,0,1EKNNtcJL6t84IS1ALWVdt,2023-05-15,k-pop,k-pop
2023-05-18,6,Like Crazy (English Version),Jimin,0u8rZGtXJrLtiSe34FPjGG,90,212253,0,4xc3Lc9yASZgEJGH7acWMB,2023-03-24,k-pop,k-pop
2023-05-18,7,Set Me Free Pt.2,Jimin,59hBR0BCtJsfIbV9VzCVAp,87,200929,1,781fDX4OibkZA9fj56Ycbz,2023-03-17,k-pop,k-pop
2023-05-18,8,アイドル,YOASOBI,7ovUcF5uHTBRzUpB6ZOmvt,89,213233,0,7yMkS4NCpG0FH6NoaH3F0a,2023-04-12,"j-pop, anime",j-pop
2023-05-18,9,Kitsch,IVE,7foeH2Emgq8A3LWk3q6dat,80,195440,0,38VzP4yWfHdHafITKKRHEB,2023-04-10,k-pop,k-pop
2023-05-18,10,Cupid - Twin Ver.,FIFTY FIFTY,53DDMPqgMWNrEeE3NjThKE,97,174253,0,5W30YJavMoHwG64cPD4L9C,2023-02-24,k-pop,k-pop
2023-05-18,11,OMG,NewJeans,65FftemJ1DbbZ45DUfHJXE,93,212253,0,45ozep8uHHnj5CCittuyXj,2023-01-02,k-pop,k-pop
2023-05-18,12,NIGHT DANCER,imase,348NF6vX0Yh22xvH0EZEro,75,210600,0,0qbkekB04QYsLqCX68e8Oy,2022-11-09,j-pop,j-pop
2023-05-18,13,Super,SEVENTEEN,3ZpfXyQgcqdSA1TGNc7Ret,88,200386,0,2Jrp37x38qZqtyrIrfxN4H,2023-04-24,k-pop,k-pop
2023-05-18,14,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,1vvcEHQdaUTvWt0EIUYcFK,79,62789,0,3hPyxRi49jls3gU6Si8JdF,2023-05-09,unknown,unknown
2023-05-18,15,Ditto,NewJeans,3r8RuvgbX9s7ammBn07D3W,90,185506,0,7bnqo1fdJU9nSfXQd3bSMe,2022-12-19,k-pop,k-pop
2023-05-18,16,Cupid,FIFTY FIFTY,53DDMPqgMWNrEeE3NjThKE,88,174253,0,5W30YJavMoHwG64cPD4L9C,2023-02-24,k-pop,k-pop
2023-05-18,17,Allergy,(G)I-DLE,2LK7nYspMBl6cpgDfWAb5v,68,162786,0,1EKNNtcJL6t84IS1ALWVdt,2023-05-15,k-pop,k-pop
2023-05-18,18,Hype Boy,NewJeans,0a4MMyCrzT0En247IhqZbD,87,179026,0,1HMLpmZAnNyl9pxvOnTovV,2022-08-01,k-pop,k-pop
2023-05-18,19,The Planet,BTS,4IJsVXbSeGPUrgwpVoHmlg,84,178156,0,7uaI73cqw8YC2ViewZAai5,2023-05-12,k-pop,k-pop
2023-05-18,20,FLOWER,JISOO,0bC7GKnxh9W9JIvJ6HVWxc,86,173134,0,2xvV55nQYyhozbXtbqwPql,2023-03-31,k-pop,k-pop
2023-05-18,21,London Boy,Lim Young Woong,6auT8cRBu3BgPRBrdVBY15,64,244500,0,0dIwHWpQXBKVOuP9CJsY4E,2022-11-15,k-ballad,k-ballad
2023-05-18,22,Polaroid,Lim Young Woong,2tA3NP12r4niSRhb9Y6AoY,64,206400,0,0dIwHWpQXBKVOuP9CJsY4E,2022-11-15,k-ballad,k-ballad
2023-05-18,23,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,5Odq8ohlgIbQKMZivbWkEo,82,154486,0,5Jk4Eg7pxYhDrWJCVVzmMt,2022-10-06,"soft pop, pop",soft pop
2023-05-18,24,Thirsty,aespa,6nICBdDevG4NZysIqDFPEa,75,193413,0,69xF8jTd0c4Zoo7DT3Rwrn,2023-05-08,k-pop,k-pop
2023-05-18,25,Haegeum,Agust D,4bjN59DRXFRxBE1g5ne6B1,91,168926,0,446ROKmKfpEwkbi2SjELVX,2023-04-21,"k-pop, k-rap",k-pop
2023-05-18,26,Alone,Jimin,5Hfnps0jaWFpYg55WOPexG,80,211250,0,4xc3Lc9yASZgEJGH7acWMB,2023-03-24,k-pop,k-pop
