date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,Supernova,Saiko,0zY2rypOdM8xmsf4tUyafF,84,190909,0,5jVewtOpycGENT1zZW4wpR,2023-04-19,unknown,unknown
2023-05-18,2,EL TONTO,Lola Indigo,4rKQ8daoK0aklVptea8A9E,83,187986,0,27fFLYwlXF1x8n1ixpFbFH,2023-04-13,unknown,unknown
2023-05-18,3,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,81,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-18,4,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-18,5,El Merengue,Marshmello & Manuel Turizo,51FvjPEGKq2zByeeEQ43V9,91,189668,0,6sU751LOdNBPvVErW1GunP,2023-03-03,edm,edm
2023-05-18,6,Mami Chula,Jhayco & Quevedo,1bvR3XjqaUkXJwrWm2cIXe,85,220600,0,67JIMv9vCB2ukBdEbtUmUG,2023-04-28,"reggaeton, trap latino, urbano latino",reggaeton
2023-05-18,7,Classy 101,Feid & Young Miko,1hZsWUnLbqRw09jLAMQSsb,95,195986,1,0lgs2Sa82lyX89nBUWyUy6,2023-03-31,"reggaeton, urbano latino",reggaeton
2023-05-18,8,Clavaito,Chanel & Abraham Mateo,26V1bLUk0SBYkLEwl4caPR,78,162740,0,04EvopsobNB5TNIzzAp0w0,2023-04-27,bachata,bachata
2023-05-18,9,TQG,KAROL G,0DWdj2oZMBFSzRsi2Cvfzf,96,197933,1,4kS7bSuU0Jm9LYMosFU2x5,2023-02-24,"reggaeton, latin, urbano latino",reggaeton
2023-05-18,10,Yandel 150,Yandel,2oiixB9QMIzhWaHGVlQx4g,90,216148,1,0T4sp7vn9arhvBUAda3foX,2023-01-13,"reggaeton, urbano latino, latin",reggaeton
2023-05-18,11,Nochentera,Vicco,20CozgjF6bshBw8cLhN23B,81,202184,0,4uCz8u5i2bIYVUOSRdtr6v,2022-12-19,unknown,unknown
2023-05-18,12,Todo Contigo,Álvaro De Luna,0FLh1ZDsjnoACzBrAVjXT2,78,165527,0,1KgKemleH5GeTmcUA7U9ka,2023-03-17,unknown,unknown
2023-05-18,13,La Bebe - Remix,Yng Lvcas & Peso Pluma,2UW7JaomAMuX9pZrjVpHAU,99,234352,1,6aBVGuOUEuX18rHxyDWbti,2023-03-17,"reggaeton mexa, reggaeton, electro corridos, dembow belico",reggaeton mexa
