track_id,href,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,tempo_norm,loudness_norm,key_name
003vvx7Niy0yvhvHt4a68B,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,0.0,1.0,0.0995,-5.23,1,0.0747,148.033,0.236,0.5365136363636364,0.9128333333333332,C#
00ZQQArUJReFfsMnl8dIgd,https://open.spotify.com/track/00ZQQArUJReFfsMnl8dIgd,0.685,0.592,0.545,0.0,0.0,0.112,-7.694999999999999,0,0.4989999999999999,87.865,0.688,0.2630227272727272,0.87175,C
02ePjHjIiszSYqeLykvpTN,https://open.spotify.com/track/02ePjHjIiszSYqeLykvpTN,0.159,0.487,0.909,1.27e-06,9.0,0.304,-3.484,1,0.0463,125.422,0.51,0.4337363636363636,0.9419333333333332,A
03P20c2fQ6SGnyyvngIdmG,https://open.spotify.com/track/03P20c2fQ6SGnyyvngIdmG,0.0342,0.559,0.666,0.0,11.0,0.152,-6.582,0,0.362,145.596,0.551,0.5254363636363637,0.8903,B
03QZPaiw1N94aAFDv7k5Em,https://open.spotify.com/track/03QZPaiw1N94aAFDv7k5Em,0.000567,0.315,0.975,0.00137,4.0,0.467,-3.21,1,0.0685,138.197,0.436,0.4918045454545455,0.9465,E
03rwnftfgpYVO6QDWOZcG6,https://open.spotify.com/track/03rwnftfgpYVO6QDWOZcG6,0.334,0.709,0.377,0.0,7.0,0.176,-11.327,1,0.219,127.921,0.147,0.4450954545454545,0.8112166666666667,G
040I32EKLxQrkuxQu1pqvT,https://open.spotify.com/track/040I32EKLxQrkuxQu1pqvT,0.64,0.557,0.577,0.0,1.0,0.104,-7.514000000000001,1,0.027,89.111,0.328,0.2686863636363636,0.8747666666666666,C#
045ZeOHPIzhxxsm8bq5kyE,https://open.spotify.com/track/045ZeOHPIzhxxsm8bq5kyE,0.000466,0.544,0.884,0.000134,7.0,0.381,-5.973,1,0.0383,91.981,0.184,0.2817318181818181,0.90045,G
04WxWo7XeVyx22xEsrWRUb,https://open.spotify.com/track/04WxWo7XeVyx22xEsrWRUb,0.0229,0.624,0.65,1.21e-05,2.0,0.145,-5.819,1,0.0358,150.048,0.138,0.5456727272727273,0.9030166666666666,D
05CTjmZKjZoCKQvM1Ldq9M,https://open.spotify.com/track/05CTjmZKjZoCKQvM1Ldq9M,0.447,0.526,0.283,5.12e-06,3.0,0.111,-13.127,0,0.566,165.991,0.354,0.6181409090909091,0.7812166666666667,D#
06qMRF18gwbOYYbnP2du6i,https://open.spotify.com/track/06qMRF18gwbOYYbnP2du6i,0.2119999999999999,0.733,0.598,3.71e-06,2.0,0.156,-8.228,1,0.0278,107.732,0.935,0.3533272727272727,0.8628666666666667,D
086myS9r57YsLbJpU0TgK9,https://open.spotify.com/track/086myS9r57YsLbJpU0TgK9,0.0483,0.691,0.631,1.13e-05,2.0,0.104,-6.478000000000001,1,0.0368,92.004,0.8,0.2818363636363636,0.8920333333333333,D
08po8QZK3tihnLBZWATAki,https://open.spotify.com/track/08po8QZK3tihnLBZWATAki,0.0239,0.603,0.955,0.0451,1.0,0.119,-4.111,1,0.0458,123.922,0.787,0.4269181818181818,0.9314833333333332,C#
09FcXaLu1BdrRNgxyBi6p5,https://open.spotify.com/track/09FcXaLu1BdrRNgxyBi6p5,0.172,0.896,0.657,3.16e-05,4.0,0.229,-4.667,0,0.0814,115.01,0.614,0.3864090909090909,0.9222166666666668,E
09LrGvT9KsACH66RHYMDyR,https://open.spotify.com/track/09LrGvT9KsACH66RHYMDyR,0.448,0.628,0.453,0.000538,1.0,0.165,-10.141,1,0.0271,89.969,0.328,0.2725863636363636,0.8309833333333334,C#
0Ah7O76JL0pyn84jI7NPbr,https://open.spotify.com/track/0Ah7O76JL0pyn84jI7NPbr,0.0631,0.548,0.517,1.21e-06,11.0,0.165,-6.591,0,0.038,87.748,0.236,0.2624909090909091,0.89015,B
0ArVfVP8B5svkfj8clHNzB,https://open.spotify.com/track/0ArVfVP8B5svkfj8clHNzB,0.0644,0.823,0.642,0.714,1.0,0.105,-5.922,1,0.258,146.781,0.629,0.5308227272727273,0.9013,C#
0B7tnohfi83RQquo2JRHrL,https://open.spotify.com/track/0B7tnohfi83RQquo2JRHrL,0.127,0.615,0.782,0.0,1.0,0.19,-4.302,1,0.0522,104.027,0.583,0.3364863636363636,0.9283,C#
0BxE4FqsDD1Ot4YuBXwAPp,https://open.spotify.com/track/0BxE4FqsDD1Ot4YuBXwAPp,0.00287,0.526,0.8659999999999999,7.78e-05,0.0,0.0945,-5.822000000000001,1,0.0568,140.266,0.248,0.5012090909090908,0.9029666666666666,C
0CAfXk7DXMnon4gLudAp7J,https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J,0.0928,0.918,0.609,0.0,10.0,0.139,-5.64,0,0.0791,128.008,0.304,0.4454909090909091,0.906,A#
0DIcssPpatAMqFXLZCxZMN,https://open.spotify.com/track/0DIcssPpatAMqFXLZCxZMN,0.0838,0.867,0.8870000000000001,1.52e-06,1.0,0.559,-3.198,1,0.3,98.558,0.57,0.3116272727272727,0.9467,C#
0FDzzruyVECATHXKHFs9eJ,https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ,0.0061699999999999,0.545,0.6750000000000002,0.00197,6.0,0.209,-6.474,1,0.0278999999999999,124.96999999999998,0.162,0.4316818181818181,0.8920999999999999,F#
0FlwhvrncUKrEAhzunmCKm,https://open.spotify.com/track/0FlwhvrncUKrEAhzunmCKm,0.765,0.394,0.256,0.0,0.0,0.116,-10.944,1,0.036,94.367,0.215,0.2925772727272727,0.8176,C
