date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,Tattoo,Loreen,1DmW5Ep6ywYwxc2HMT5BG6,89,183374,0,0LRTS7FyYLppkDLOZT02Xp,2023-02-25,europop,europop
2023-05-18,2,Daylight,David Kushner,5OGZ2Mx4Cs6RCndDRycGBJ,96,212953,0,52O89bnT0vPNtrzF1AtWJ2,2023-04-14,unknown,unknown
2023-05-18,3,Cha Cha Cha,Käärijä,5RX8T3EoTuXcybAxe6oPAw,86,175161,0,5rBqeRlrrzR77MAkbgAmS6,2023-01-17,"finnish pop, europop",finnish pop
2023-05-18,4,Miracle (with Ellie Goulding),Calvin Harris & Ellie Goulding,5eTaQYBE1yrActixMAeLcZ,91,186496,0,22UyygZceCIfoE0RhENgKx,2023-03-10,edm,edm
2023-05-18,5,Queen of Kings,Alessandra,14LdhxElpZS0rKVV4nxtdA,85,147979,0,6Fkp68IAnNvIRJ8rm1MxhB,2023-01-09,unknown,unknown
2023-05-18,6,Flowers,Miley Cyrus,7DSAEUvxU8FajXtRloy8M0,91,200600,0,5DvJgsMLbaR1HmAI6VhfcQ,2023-03-10,unknown,unknown
2023-05-18,7,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,5CCr8msaN3MhgqBoa9yWhH,96,131013,0,2pOEFqvfxp5uUQ8vQEmVA0,2023-02-03,bedroom pop,bedroom pop
2023-05-18,8,People,Libianca,26b3oVLrRUaaybJulow9kz,92,184791,0,5Hmh6N8oisrcuZKa8EY5dn,2022-12-06,"afrobeats, afrobeat",afrobeats
2023-05-18,9,Kill Bill,SZA,1Qrg8KqiBpW07V7PNxwwwL,94,153946,0,1nrVofqDRs7cpWXJ49qTnP,2022-12-08,r&b,r&b
2023-05-18,10,Wish You The Best,Lewis Capaldi,3gdPwk2wyOXNRnTA1KXnEr,87,210880,0,0ECSyPejfD7oL95dD3jgoi,2023-04-14,soft pop,soft pop
2023-05-18,11,Giving Me,Jazzy,1ACFweuuvf6MHtptObgreR,76,169000,0,0wTaLHasxRWB2VBwh9maAc,2023-03-10,unknown,unknown
2023-05-18,12,Anti-Hero,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,94,200690,0,151w1FgRZfnKZA9FEcg9Z3,2022-10-21,unknown,unknown
