date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,27,Thinkin Bout Me,Morgan Wallen,4Sb8neYCkT7lyMIo2kOOEC,87,177387,0,7c1wEzhXamUm7Lh9zqVMl9,2023-03-03,country,country
2023-05-22,40,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),Beyoncé & Kendrick Lamar,6l8mgVN9Xf1hiDIFGA6CTE,65,260962,1,2x4aShbWkdZ1h8sfO23yZN,2023-05-19,unknown,unknown
2023-06-11,39,Youre Gonna Go Far,Noah Kahan,4nHJcUtNSUVjXRnjdP29Bk,65,286369,1,1pb3je8gXTs5dpRRTKhHRC,2023-06-09,unknown,unknown
2023-07-02,18,"Mama, Im Sorry",Lil Uzi Vert,5V5Xpbmqi2rp1xSJWZTvYu,72,210961,1,2ua5bFkZLZl1lIgKWtYZIz,2023-06-30,melodic rap,melodic rap
2023-07-09,3,Sparks Fly (Taylors Version),Taylor Swift,3MytWN8L7shNYzGl4tAKRp,0,261230,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,4,I Can See You (Taylors Version) (From The Vault),Taylor Swift,5kHMfzgLZP95O9NBy0ku4v,0,273186,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,9,Electric Touch (feat. Fall Out Boy) (Taylors Version) (From The Vault),Taylor Swift,4e3ZNTAV6PCrdYMUrUlMpQ,0,266466,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,11,Castles Crumbling (feat. Hayley Williams) (Taylors Version) (From The Vault),Taylor Swift,4ABYxlb92WBIjHu7TIKmml,0,306062,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,12,When Emma Falls in Love (Taylors Version) (From The Vault),Taylor Swift,0zo975x58DlXbZllWvfYhg,0,252385,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,15,Foolish One (Taylors Version) (From The Vault),Taylor Swift,4s8BIKx4Zh6ryAEz8RTlaU,0,311765,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,16,Timeless (Taylors Version) (From The Vault),Taylor Swift,1HCdems7PQZRj42QDWLA0A,0,321396,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,22,Ours (Taylors Version),Taylor Swift,3yNJkriPzWjkkDAWHIAVUq,0,235803,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,23,Superman (Taylors Version),Taylor Swift,4evLyY5Ue1Wesc61t2KXAU,0,274945,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-26,42,Im Just Ken (From Barbie The Album),Ryan Gosling,7jPdqwZug0ovtDZsY5uK4T,68,222633,0,6OvDrWqXGbPBTyovcFmQO5,2023-07-21,unknown,unknown
2023-07-29,37,Aquí Te Espero,Ivan Cornejo,33vrRiIiut4rOFmkgorJD6,0,255373,0,7HTM9QDAoJ0GOegmJfgDOE,2023-07-27,"sad sierreño, corridos tumbados, música mexicana, corrido, sierreño",sad sierreño
2023-08-01,17,DELRESTO (ECHOES) (feat. Beyoncé),Travis Scott,0OEe83mMZ5kaNw5uZQ7ilG,86,274137,1,18NOKLkZETa4sWwLMIm0UZ,2023-07-28,rap,rap
2023-08-11,45,Dont Blame Me,Taylor Swift,1R0a2iXumgCiFb7HEZ7gUE,91,236413,0,6DEjYFkNZh67HP7R9PSZvv,2017-11-10,unknown,unknown
2023-08-13,13,MI EX TENÍA RAZÓN,KAROL G,54zcJnb3tp9c5OVKREZ1Is,62,154374,0,0FqAaUEyKCyUNFE1uQPZ7i,2023-08-10,"reggaeton, latin, urbano latino",reggaeton
2023-08-13,40,UNA NOCHE EN MEDELLÍN - REMIX,KAROL G,0GJwUAlBMJTbY4VE7iE761,56,205144,1,0FqAaUEyKCyUNFE1uQPZ7i,2023-08-10,"reggaeton, latin, urbano latino",reggaeton
2023-09-10,14,pretty isnt pretty,Olivia Rodrigo,6W9l02gRsXVxzIuQC1oc1X,76,199422,1,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,unknown,unknown
2023-10-14,47,Jennifers Body,Ken Carson,04hgBWsBDEyVP8pH0BCZbG,0,158515,1,0HS8aknH0JQdMIiBVhyOCW,2023-10-13,rage rap,rage rap
2023-10-29,21,This Love (Taylors Version),Taylor Swift,4d1CG5ei1E2vGbvmgf5KKv,0,250100,0,3In1CblWZswwun5MhOa10y,2023-10-26,unknown,unknown
2023-11-04,23,Cant Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,17cia5k4BpGVlyEfqrFH50,0,205483,0,2yHTMVFGHODKJOjVL1hLgk,2023-11-03,unknown,unknown
2023-11-18,31,"I swear, I Really Wanted To Make A ""Rap"" Album But This Is Literally The Way The Wind Blew Me This Time",André 3000,1lbjDy6IIerHFGZWKG0hno,37,740010,0,33Ek6daAL3oXyQIV1uoItD,2023-11-17,unknown,unknown
2023-11-18,42,Cant Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo & Rachel Zegler & Flatland Cavalry,unknown_track,34,205483,0,unknown_album,2023-11-17,unknown,unknown
2023-11-20,41,It's Beginning to Look a Lot like Christmas,Michael Bublé,3it2BvJfyhPEWF3kD2TZJ1,75,207199,0,6UuaXwIIaIaNSGrpPE1vFt,2011-10-14,christmas,christmas
2023-11-23,34,Vultures,¥$ & Kanye West & Ty Dolla $ign,3w9WvHLKSXOsW6aAw0yr1n,0,237534,1,4DOsPwJtokv6HEifZ6t5j6,2023-11-22,unknown,unknown
2023-11-24,38,Feliz Navidad,José Feliciano,0oPdaY4dXtc3ZsaG17V972,78,182066,0,3No96PtEFyRfX1oELmZTPu,2002-09-24,"christmas, bolero, villancicos",christmas
2023-11-24,44,Holly Jolly Christmas,Michael Bublé,6rqn19AqjcM5wgI1hCYciJ,73,119786,0,6UuaXwIIaIaNSGrpPE1vFt,2011-10-14,christmas,christmas
2023-11-25,50,Santa Baby (with Henri René & His Orchestra),Eartha Kitt,1foCxQtxBweJtZmdxhEHVO,70,206066,0,6gOVmmV26wBBgxUtbF8YZd,1900-01-01,christmas,christmas
2023-11-30,1,Youre Losing Me (From The Vault),Taylor Swift,3CWq0pAKKTWb0K4yiglDc4,0,277831,0,5q3jthpn2h59P7pe2gmAl7,2023-11-29,unknown,unknown
2023-12-02,40,MY HOUSE,Beyoncé,7omJfT9s6V2IpQNBYyq5C8,0,262941,1,1H1ivGeE2LjPjE71OITTZs,2023-12-01,unknown,unknown
2023-12-24,45,"Santa, Cant You Hear Me",Kelly Clarkson,2O3MQ6H3gjrIWDcpeTrikT,87,242644,0,5sVFXIMrFRKBtDOexVlBBU,2021-10-15,christmas,christmas
2023-12-28,24,La Víctima,Xavi,5XVdHRf4CAJ2Jm0uMIy5qY,89,156345,1,30KJEN3ICjhYsZ1NgunRCr,2023-08-17,"corridos tumbados, corrido, corridos bélicos, sad sierreño, música mexicana, banda, sierreño",corridos tumbados
2024-01-03,39,New Years Day,Taylor Swift,7F5oktn5YOsR9eR5YsFtqb,77,235466,0,6DEjYFkNZh67HP7R9PSZvv,2017-11-10,unknown,unknown
2024-01-14,4,née-nah,21 Savage,2yUzr8Sr6ldG8vmHhZwTnz,77,220584,1,2RRYaYHY7fIIdvFlvgb5vq,2024-01-12,unknown,unknown
2024-01-14,14,Igual Que Un Ángel (with Peso Pluma),Kali Uchis,6XaJfhwof7qIgbbXO5tIQI,75,260370,0,5U20AVSsUvycGtWip4XQfo,2024-01-12,unknown,unknown
