date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,1,Ella Baila Sola,Eslabon Armado,3dnP0JxCgygwQH9Gm7q7nb,89,165671,0,3Mm1P5CEEAiuJqBclr2EyU,2023-04-28,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",corridos tumbados
2023-05-18,2,Last Night,Morgan Wallen,583dMdiUquLMenarTp7PQm,89,163854,1,0rnd3h2dc82L4gTjW6Vfoq,2023-03-03,country,country
2023-05-18,3,All My Life (feat. J. Cole),Lil Durk & J. Cole,6HgWWaMu31KdOpEG5l28BG,84,223878,1,0lZQagJ5r0crB35zphSD4A,2023-05-12,"chicago drill, drill",chicago drill
2023-05-18,4,un x100to,Grupo Frontera & Bad Bunny,6pD0ufEQq0xdHSsRbg9LBK,99,194563,0,7aGzSSUD8S6IhPCsZSiuMT,2023-04-17,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, tejano, corridos bélicos, ranchera",cumbia norteña
2023-05-18,5,Kill Bill,SZA,1Qrg8KqiBpW07V7PNxwwwL,94,153946,0,1nrVofqDRs7cpWXJ49qTnP,2022-12-08,r&b,r&b
2023-05-18,6,See You Again (feat. Kali Uchis),"Tyler, The Creator",7KA4W4McWYRpgf0fWsJZWB,94,180386,1,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,unknown,unknown
2023-05-18,7,Cupid - Twin Ver.,FIFTY FIFTY,53DDMPqgMWNrEeE3NjThKE,97,174253,0,5W30YJavMoHwG64cPD4L9C,2023-02-24,k-pop,k-pop
2023-05-18,8,La Bebe - Remix,Yng Lvcas & Peso Pluma,2UW7JaomAMuX9pZrjVpHAU,99,234352,1,6aBVGuOUEuX18rHxyDWbti,2023-03-17,"reggaeton mexa, reggaeton, electro corridos, dembow belico",reggaeton mexa
2023-05-18,9,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,5CCr8msaN3MhgqBoa9yWhH,96,131013,0,2pOEFqvfxp5uUQ8vQEmVA0,2023-02-03,bedroom pop,bedroom pop
2023-05-18,10,MATHEMATICAL DISRESPECT,Lil Mabu,0Ymjv0OJeIIPXr6s9wi3iW,84,88304,1,2na9riat7uwn9pax75cJue,2023-05-05,"new york drill, drill",new york drill
2023-05-18,11,Search & Rescue,Drake,7aRCf5cLOFN1U7kvtChY1G,91,272112,1,67WUCOjyl44d8fAFzHONjW,2023-04-07,rap,rap
2023-05-18,12,Area Codes,Kali,7sliFe6W30tPBPh6dvZsIH,83,139325,1,6uk3hBYbrMsSzufADPjv9K,2023-03-17,unknown,unknown
2023-05-18,13,PRC,Peso Pluma & Natanael Cano,2mpoNBkngUEwnaKoBhZ0vl,96,184066,1,2OXBosbXT7Qs3J6vBd6IkI,2023-01-23,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",corrido
2023-05-18,14,Flowers,Miley Cyrus,7DSAEUvxU8FajXtRloy8M0,91,200600,0,5DvJgsMLbaR1HmAI6VhfcQ,2023-03-10,unknown,unknown
2023-05-18,15,Fast Car,Luke Combs,1Lo0QY9cvc8sUB2vnIOxDT,88,265493,0,5Uly85dJHHDfHQCsyUQ8gw,2023-03-24,country,country
2023-05-18,16,Cruel Summer,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,92,178426,0,1NAmidJlEaVgA3MpcPFYGq,2019-08-23,unknown,unknown
2023-05-18,17,You Proof,Morgan Wallen,57a4iloBWqan5rtqPJBoVY,86,157477,0,7c1wEzhXamUm7Lh9zqVMl9,2023-03-03,country,country
2023-05-18,18,SLUT ME OUT,NLE Choppa,0WoVfPjxsf9MTvPt9ptqeE,75,123672,1,7l49L64CFakYuaV4EL11sP,2023-04-14,unknown,unknown
