date,position,song,artist,track_id,popularity,duration_ms,is_explicit,album_id,release_date,genres,main_genre
2023-05-18,11,Cha Cha Cha,Käärijä,5RX8T3EoTuXcybAxe6oPAw,86,175161,0,5rBqeRlrrzR77MAkbgAmS6,2023-01-17,"finnish pop, europop",finnish pop
2023-05-18,13,Acróstico - Milan + Sasha,Shakira,7txjUEY6McJDJKqIo1Rxjp,81,170785,0,4ZQmQzeicvUGkLxFTI2Dvd,2023-05-11,latin pop,latin pop
2023-05-18,16,BESO,"ROSALÍA, Rauw Alejandro",609E1JCInJncactoMmkDon,96,194543,0,50uChhk7AKkzDKytDixjYW,2023-03-24,latin,latin
2023-05-18,48,Frágil,"Yahritza Y Su Esencia, Grupo Frontera",4JdSXF2p71cr8uCY3UiJM0,89,160517,0,6iZUwDpa27jeAvKxs8UYI2,2023-04-07,"sad sierreño, música mexicana, banda, corridos tumbados, corrido",sad sierreño
2023-05-22,46,Abcdario,"Eden Muñoz, Junior H",0qCPD6ilr9nXkI4KVZgcns,82,220650,0,7BgImTrFzm2nQQW59IeFGD,2023-05-13,"banda, corrido, norteño, corridos bélicos, corridos tumbados",banda
2023-05-24,43,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",6l8mgVN9Xf1hiDIFGA6CTE,75,260962,1,2x4aShbWkdZ1h8sfO23yZN,2023-05-19,unknown,unknown
2023-06-05,46,Tá OK,"DENNIS, MC Kevin o Chris",0fABszUFNbNq9IW503Gj8v,82,92093,0,41iAYv4hU3BL86F0sOTvqp,2023-05-04,"brazilian funk, funk carioca, funk pop, funk melody",brazilian funk
2023-07-02,50,Copa Vacía,"Shakira, Manuel Turizo",2iVgM5C7m1G4CJGbms301G,74,173547,0,4qtiO9UGqajxnKC0z0Mxn7,2023-06-29,latin pop,latin pop
2023-07-09,4,Sparks Fly (Taylor’s Version),Taylor Swift,3MytWN8L7shNYzGl4tAKRp,0,261230,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,8,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,5kHMfzgLZP95O9NBy0ku4v,0,273186,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,12,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),"Taylor Swift, Fall Out Boy",4e3ZNTAV6PCrdYMUrUlMpQ,0,266466,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,14,When Emma Falls in Love (Taylor’s Version) (From The Vault),Taylor Swift,0zo975x58DlXbZllWvfYhg,0,252385,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,16,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),"Taylor Swift, Hayley Williams",4ABYxlb92WBIjHu7TIKmml,0,306062,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,21,Foolish One (Taylor’s Version) (From The Vault),Taylor Swift,4s8BIKx4Zh6ryAEz8RTlaU,0,311765,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,24,Timeless (Taylor’s Version) (From The Vault),Taylor Swift,1HCdems7PQZRj42QDWLA0A,0,321396,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,26,Ours (Taylor’s Version),Taylor Swift,3yNJkriPzWjkkDAWHIAVUq,0,235803,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-07-09,34,Superman (Taylor’s Version),Taylor Swift,4evLyY5Ue1Wesc61t2KXAU,0,274945,0,5AEDGbliTTfjOB8TSm1sxt,2023-07-07,unknown,unknown
2023-08-01,22,DELRESTO (ECHOES) (feat. Beyoncé),"Travis Scott, Beyoncé",0OEe83mMZ5kaNw5uZQ7ilG,86,274137,1,18NOKLkZETa4sWwLMIm0UZ,2023-07-28,rap,rap
2023-08-13,15,MI EX TENÍA RAZÓN,KAROL G,54zcJnb3tp9c5OVKREZ1Is,62,154374,0,0FqAaUEyKCyUNFE1uQPZ7i,2023-08-10,"reggaeton, latin, urbano latino",reggaeton
2023-08-13,49,UNA NOCHE EN MEDELLÍN - REMIX,"KAROL G, Cris MJ, Ryan Castro",0GJwUAlBMJTbY4VE7iE761,56,205144,1,0FqAaUEyKCyUNFE1uQPZ7i,2023-08-10,"reggaeton, latin, urbano latino",reggaeton
2023-08-30,44,PÓLVORA,"Mora, Yandel",3pQr8EhSzvKN3ZZlaL4Pae,0,185326,1,0SoJvPHbKVhvmVJOp3kzp3,2023-08-28,"urbano latino, trap latino, reggaeton",urbano latino
2023-08-30,49,FANTASÍAS,Mora,2v1EKQQn4UYC6qB13Vphaf,0,191847,1,0SoJvPHbKVhvmVJOp3kzp3,2023-08-28,"urbano latino, trap latino, reggaeton",urbano latino
2023-08-31,41,Penhasco2,"Luísa Sonza, Demi Lovato",0t5cfOZxePTvuYXTywHzjH,0,173228,0,39nlfd4MoNcVGgvx64Opnt,2023-08-29,"brazilian pop, funk pop, brazilian funk",brazilian pop
2023-09-01,48,Prada,"cassö, RAYE, D-Block Europe",59NraMJsLaMCVtwXTSia8i,87,132359,1,5MU0RmBSpoSxOPYBfcobDc,2023-08-11,hypertechno,hypertechno
2023-09-07,27,Chico,Luísa Sonza,43eRVwfXFkY3kXN4K47gNT,73,182111,0,39nlfd4MoNcVGgvx64Opnt,2023-08-29,"brazilian pop, funk pop, brazilian funk",brazilian pop
2023-09-10,27,pretty isn’t pretty,Olivia Rodrigo,6W9l02gRsXVxzIuQC1oc1X,76,199422,1,1xJHno7SmdVtZAtXbdbDZp,2023-09-08,unknown,unknown
2023-09-24,28,Según Quién,"Maluma, Carín León",4bw8mcDUSRWfQo63ZTYRnU,76,142334,1,3Fk8yQvPlCHgwR2pNhEIRA,2023-08-25,"reggaeton, latin, urbano latino",reggaeton
2023-09-29,41,Si No Estás,iñigo quintero,2HafqoJbgXdtjwCOvNEF14,78,184061,0,66k6EGkPtYoN44anGIsEPW,2022-09-23,unknown,unknown
2023-10-29,33,This Love (Taylor’s Version),Taylor Swift,4d1CG5ei1E2vGbvmgf5KKv,0,250100,0,3In1CblWZswwun5MhOa10y,2023-10-26,unknown,unknown
2023-11-20,46,Canât Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo & Rachel Zegler & Flatland Cavalry,unknown_track,63,205483,0,unknown_album,2023-11-17,unknown,unknown
2023-11-23,45,VULTURES,"¥$, Kanye West, Ty Dolla $ign",3w9WvHLKSXOsW6aAw0yr1n,0,237534,1,4DOsPwJtokv6HEifZ6t5j6,2023-11-22,unknown,unknown
2023-11-25,39,It's Beginning to Look a Lot like Christmas,Michael Bublé,3it2BvJfyhPEWF3kD2TZJ1,77,207199,0,6UuaXwIIaIaNSGrpPE1vFt,2011-10-14,christmas,christmas
2023-11-26,45,Holly Jolly Christmas,Michael Bublé,6rqn19AqjcM5wgI1hCYciJ,75,119786,0,6UuaXwIIaIaNSGrpPE1vFt,2011-10-14,christmas,christmas
2023-11-26,47,Feliz Navidad,José Feliciano,0oPdaY4dXtc3ZsaG17V972,79,182066,0,3No96PtEFyRfX1oELmZTPu,2002-09-24,"christmas, bolero, villancicos",christmas
2023-11-30,1,You’re Losing Me (From The Vault),Taylor Swift,3CWq0pAKKTWb0K4yiglDc4,0,277831,0,5q3jthpn2h59P7pe2gmAl7,2023-11-29,unknown,unknown
2023-12-17,43,La Víctima,Xavi,5XVdHRf4CAJ2Jm0uMIy5qY,90,156345,1,30KJEN3ICjhYsZ1NgunRCr,2023-08-17,"corridos tumbados, corrido, corridos bélicos, sad sierreño, música mexicana, banda, sierreño",corridos tumbados
2023-12-24,40,"Santa, Can’t You Hear Me","Kelly Clarkson, Ariana Grande",2O3MQ6H3gjrIWDcpeTrikT,87,242644,0,5sVFXIMrFRKBtDOexVlBBU,2021-10-15,christmas,christmas
2023-12-24,41,Santa Baby (with Henri René & His Orchestra),"Eartha Kitt, Henri René and His Orchestra",1foCxQtxBweJtZmdxhEHVO,79,206066,0,6gOVmmV26wBBgxUtbF8YZd,2023-01-01,christmas,christmas
2024-01-14,13,née-nah,"21 Savage, Travis Scott, Metro Boomin",2yUzr8Sr6ldG8vmHhZwTnz,77,220584,1,2RRYaYHY7fIIdvFlvgb5vq,2024-01-12,unknown,unknown
2024-01-14,17,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",6XaJfhwof7qIgbbXO5tIQI,75,260370,0,5U20AVSsUvycGtWip4XQfo,2024-01-12,unknown,unknown
2024-01-25,50,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",3QQAeMQbbjZXVFbF8DgFWT,87,169440,0,4NNAc6EF4agYuWUqZ5OZr0,2023-12-07,"electro corridos, dembow belico, corrido, corridos tumbados, corridos bélicos, banda",electro corridos
2024-02-09,47,"I P’ ME, TU P’ TE","Geolier, Michelangelo",3j1453KrdHjw7y4gnBj7nF,73,187881,0,09DwcnxasBOzPGqVXJPF13,2024-02-07,"canzone napoletana, neomelodico, italian trap",canzone napoletana
2024-02-14,4,TEXAS HOLD 'EM,Beyoncé,0Z7nGFVCLfixWctgePsRk9,77,235636,1,6cBlaud5JVmPjkjxnwIMLx,2024-02-11,unknown,unknown
2024-02-16,1,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign",2McT2fkH0VDqPsbiB9HWPq,0,264324,1,4DOsPwJtokv6HEifZ6t5j6,2024-02-08,unknown,unknown
2024-02-16,14,BURN,"¥$, Kanye West, Ty Dolla $ign",7BPadP3q9qwMkho3IMPU99,0,111458,1,4DOsPwJtokv6HEifZ6t5j6,2024-02-09,unknown,unknown
2024-02-16,15,FUK SUMN,"¥$, Kanye West, Ty Dolla $ign",0cbVD7WpHVdHUKwoolzhCZ,0,209577,1,4DOsPwJtokv6HEifZ6t5j6,2024-02-09,unknown,unknown
2024-02-16,22,BACK TO ME,"¥$, Kanye West, Ty Dolla $ign",3g9UquSEBErZiXSDa02YfG,0,295471,1,4DOsPwJtokv6HEifZ6t5j6,2024-02-09,unknown,unknown
2024-02-16,36,STARS,"¥$, Kanye West, Ty Dolla $ign",5ogdIq5F70xEPB3kwiiecr,0,115238,1,4DOsPwJtokv6HEifZ6t5j6,2024-02-09,unknown,unknown
2024-02-16,43,TALKING,"¥$, Kanye West, Ty Dolla $ign",2os3F2ZKbj02ZWXWAdWGFD,79,185110,1,4DOsPwJtokv6HEifZ6t5j6,2024-02-08,unknown,unknown
2024-02-16,49,DO IT,"¥$, Kanye West, Ty Dolla $ign",1oNaDXXu9I4UCJ8Fh0Hfjg,0,225000,1,4DOsPwJtokv6HEifZ6t5j6,2024-02-09,unknown,unknown
