week,rank,title,artist,spotify_id,danceability,energy,tempo,valence,speechiness,acousticness,instrumentalness,liveness,loudness,key,mode,genre
2025-01-05,1,Die With A Smile,Lady Gaga & Bruno Mars,2plbrEY59IikOBgBGLjaoe,0.521,0.592,157.969,0.535,0.0304,0.308,0.0,0.122,-7.777,6.0,0.0,art pop
2025-01-05,2,A Bar Song (Tipsy),Shaboozey,2FQrifJ1N335Ljm3TjTVVf,0.722,0.709,81.012,0.604,0.0273,0.0633,0.0,0.0804,-4.95,9.0,1.0,
2025-01-05,3,Birds Of A Feather,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB,0.747,0.507,104.978,0.438,0.0358,0.2,0.0608,0.117,-10.171,2.0,1.0,
2025-01-05,4,Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk,0.561,0.604,159.92,0.242,0.0337,0.199,1.9e-05,0.104,-4.409,9.0,1.0,
2025-01-05,5,APT.,ROSE & Bruno Mars,5vNRhkKd0yEAg8suGBpjeY,0.777,0.783,149.027,0.939,0.26,0.0283,0.0,0.355,-4.477,0.0,0.0,k-pop
2025-01-05,6,That's So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad,0.554,0.808,108.548,0.372,0.0368,0.214,0.0,0.159,-4.169,1.0,1.0,
2025-01-05,7,Luther,Kendrick Lamar & SZA,45J4avUb9Ni0bnETYaYFVJ,0.707,0.575,138.008,0.576,0.125,0.251,0.0,0.248,-7.546,2.0,1.0,hip hop
2025-01-05,8,I Had Some Help,Post Malone Featuring Morgan Wallen,7221xIgOnuakPdLqT0F3nP,0.638,0.855,127.986,0.731,0.0264,0.00757,0.0,0.245,-4.86,7.0,1.0,
2025-01-05,9,Espresso,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75,0.701,0.76,103.969,0.69,0.0285,0.107,6.54e-05,0.185,-5.478,0.0,1.0,pop
2025-01-05,10,Taste,Sabrina Carpenter,5G2f63n7IPVPPjfNIGih7Q,0.674,0.907,112.964,0.721,0.064,0.101,0.0,0.297,-4.086,3.0,1.0,pop
2025-01-05,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,45J4avUb9Ni0bnETYaYFVJ,0.707,0.575,138.008,0.576,0.125,0.251,0.0,0.248,-7.546,2.0,1.0,hip hop
2025-01-05,12,Beautiful Things,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9,0.472,0.471,105.029,0.219,0.0603,0.151,0.0,0.14,-5.692,10.0,1.0,
2025-01-05,13,Love Somebody,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo,0.619,0.843,122.064,0.746,0.0284,0.00948,0.000118,0.164,-5.348,5.0,0.0,country
2025-01-05,14,Too Sweet,Hozier,19XpFsce28aByvCC4g89tJ,0.74,0.643,117.025,0.96,0.0413,0.041,0.00229,0.0407,-5.446,10.0,1.0,
2025-01-05,15,Timeless,The Weeknd & Playboi Carti,0FIDCNYYjNvPVimz5icugS,0.768,0.775,119.999,0.6,0.0466,0.069,2.96e-06,0.138,-5.06,11.0,0.0,
2025-01-05,16,Squabble Up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb,0.874,0.672,103.921,0.711,0.198,0.0206,0.0,0.0783,-5.568,0.0,1.0,hip hop
2025-01-05,17,"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu,0.7,0.582,116.712,0.785,0.0356,0.0502,0.0,0.0881,-5.96,11.0,0.0,
2025-01-05,18,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne",3DLtPObflLQBodZN8qGODT,0.704,0.573,127.995,0.759,0.0518,0.737,0.0,0.068,-7.032,0.0,0.0,v-pop
2025-01-05,19,Stargazing,Myles Smith,3Vr3zh0r7ALn8VLqCiRR10,0.635,0.601,123.994,0.332,0.0295,0.246,0.0,0.11,-6.129,1.0,0.0,
2025-01-05,20,Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3,0.898,0.472,101.061,0.214,0.0776,0.0107,0.0,0.141,-7.001,1.0,1.0,hip hop
2025-01-05,21,Whatchu Kno About Me,Glorilla & Sexyy Red,5xeSd4HgzrYpNLEf3LfYLK,0.832,0.684,166.976,0.68,0.359,0.00449,0.0,0.229,-4.691,1.0,1.0,
2025-01-05,22,30 For 30,SZA With Kendrick Lamar,3aSWXU6owkZeVhh94XxEWO,0.714,0.415,140.059,0.506,0.0634,0.758,0.000112,0.133,-10.338,1.0,0.0,r&b
