week,rank,title,artist,spotify_id
2025-01-05,1,Die With A Smile,Lady Gaga & Bruno Mars,2plbrEY59IikOBgBGLjaoe
2025-01-05,2,A Bar Song (Tipsy),Shaboozey,2FQrifJ1N335Ljm3TjTVVf
2025-01-05,3,Birds Of A Feather,Billie Eilish,6dOtVTDdiauQNBQEDOtlAB
2025-01-05,4,Lose Control,Teddy Swims,6usohdchdzW9oML7VC4Uhk
2025-01-05,5,APT.,ROSE & Bruno Mars,5vNRhkKd0yEAg8suGBpjeY
2025-01-05,6,That's So True,Gracie Abrams,7ne4VBA60CxGM75vw0EYad
2025-01-05,7,Luther,Kendrick Lamar & SZA,45J4avUb9Ni0bnETYaYFVJ
2025-01-05,8,I Had Some Help,Post Malone Featuring Morgan Wallen,7221xIgOnuakPdLqT0F3nP
2025-01-05,9,Espresso,Sabrina Carpenter,2qSkIjg1o9h3YT9RAgYN75
2025-01-05,10,Taste,Sabrina Carpenter,5G2f63n7IPVPPjfNIGih7Q
2025-01-05,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,45J4avUb9Ni0bnETYaYFVJ
2025-01-05,12,Beautiful Things,Benson Boone,6tNQ70jh4OwmPGpYy6R2o9
2025-01-05,13,Love Somebody,Morgan Wallen,7hR22TOX3RorxJPcsz5Wbo
2025-01-05,14,Too Sweet,Hozier,19XpFsce28aByvCC4g89tJ
2025-01-05,15,Timeless,The Weeknd & Playboi Carti,0FIDCNYYjNvPVimz5icugS
2025-01-05,16,Squabble Up,Kendrick Lamar,0nj9Bq5sHDiTxSHunhgkFb
2025-01-05,17,"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu
2025-01-05,18,Sticky,"Tyler, the Creator Featuring Glorilla, Sexyy Red & Lil Wayne",3DLtPObflLQBodZN8qGODT
2025-01-05,19,Stargazing,Myles Smith,3Vr3zh0r7ALn8VLqCiRR10
2025-01-05,20,Not Like Us,Kendrick Lamar,6AI3ezQ4o3HUoP6Dhudph3
2025-01-05,21,Whatchu Kno About Me,Glorilla & Sexyy Red,5xeSd4HgzrYpNLEf3LfYLK
2025-01-05,22,30 For 30,SZA With Kendrick Lamar,3aSWXU6owkZeVhh94XxEWO
2025-01-05,23,High Road,Koe Wetzel & jessie murph,73KAidtqbDftZjy8AD0H04
2025-01-05,24,Who,Jimin,7tI8dRuH2Yc6RuoTjxo4dU
2025-01-05,25,Messy,Lola Young,2YuUy4hBCVm4L5IRHu0iVl
2025-01-05,26,Please Please Please,Sabrina Carpenter,5N3hjp1WNayUPZrA8kJmJP
2025-01-05,27,Smile,Morgan Wallen,3MJ6lFNV12FSHAOzTzkwxz
2025-01-05,28,I Am Not Okay,Jelly Roll,3SaS0Va6o6jYkWvadT86C6
2025-01-05,29,BMF,SZA,3U3hFkMr0Q90pD24EkE3Pr
2025-01-05,30,Million Dollar Baby,Tommy Richman,5AJ9hqTS2wcFQCELCFRO7A
2025-01-05,31,Wind Up Missin' You,Tucker Wetmore,3EO58D1YpHnTvBy68gK8HE
2025-01-05,32,Bed Chem,Sabrina Carpenter,3hppjCoD5ruwTaoyJ0J5Wh
2025-01-05,33,Sailor Song,Gigi Perez,2262bWmqomIaJXwCRHr13j
2025-01-05,34,Lies Lies Lies,Morgan Wallen,1KL0yUBT1U2PfVUWIhWL7l
2025-01-05,35,Wildflower,Billie Eilish,3QaPy1KgI7nu9FJEQUgn6h
2025-01-05,36,Pink Pony Club,Chappell Roan,6393yGahSJ9slVdOwSxOVR
2025-01-05,37,Like Him,"Tyler, the Creator Featuring Lola Young",72NMPuJCRsOUoXQJdzVfdo
2025-01-05,38,I Never Lie,Zach Top,3t6gUcGYLrUuqwpXjOFWQc
2025-01-05,39,Liar,Jelly Roll,0llPOBVoJYDAtdmVlNE41A
2025-01-05,40,I'm Gonna Love You,Cody Johnson & Carrie Underwood,08wyXJO5ZcqloLYbpufenQ
2025-01-05,41,Scorsese Baby Daddy,SZA,2E7a96qey4AzSOdK6H21vS
